touch_id,email,customer_id,channel,campaign_id,touched_at
MT-00257,user286@example.com,286,email,cmp-00257,2024-05-05
MT-00258,user287@example.com,287,ads,cmp-00258,2024-05-06
MT-00259,user288@example.com,288,social,cmp-00259,2024-05-07
MT-00260,user289@example.com,289,partner,cmp-00260,2024-05-08
MT-00261,user290@example.com,290,email,cmp-00261,2024-05-09
MT-00262,user291@example.com,291,ads,cmp-00262,2024-05-10
MT-00263,ada@example.com,292,social,cmp-00263,2024-05-11
MT-00264,user293@example.com,293,partner,cmp-00264,2024-05-12
MT-00265,user294@example.com,294,email,cmp-00265,2024-05-13
MT-00266,user295@example.com,295,ads,cmp-00266,2024-05-14
MT-00267,user296@example.com,296,social,cmp-00267,2024-05-15
MT-00268,user297@example.com,297,partner,cmp-00268,2024-05-16
MT-00269,user298@example.com,298,email,cmp-00269,2024-05-17
MT-00270,user299@example.com,299,ads,cmp-00270,2024-05-18
MT-00271,user300@example.com,300,social,cmp-00271,2024-05-19
MT-00272,user301@example.com,301,partner,cmp-00272,2024-05-20
MT-00273,user302@example.com,302,email,cmp-00273,2024-05-21
MT-00274,user303@example.com,303,ads,cmp-00274,2024-05-22
MT-00275,user304@example.com,304,social,cmp-00275,2024-05-23
MT-00276,user305@example.com,305,partner,cmp-00276,2024-05-24
MT-00277,user306@example.com,306,email,cmp-00277,2024-05-25
MT-00278,user307@example.com,307,ads,cmp-00278,2024-05-26
MT-00279,user308@example.com,308,social,cmp-00279,2024-05-27
MT-00280,user309@example.com,309,partner,cmp-00280,2024-05-28
MT-00281,user310@example.com,310,email,cmp-00281,2024-05-01
MT-00282,user311@example.com,311,ads,cmp-00282,2024-05-02
MT-00283,user312@example.com,312,social,cmp-00283,2024-05-03
MT-00284,user313@example.com,313,partner,cmp-00284,2024-05-04
MT-00285,user314@example.com,314,email,cmp-00285,2024-05-05
MT-00286,user315@example.com,315,ads,cmp-00286,2024-05-06
MT-00287,user316@example.com,316,social,cmp-00287,2024-05-07
MT-00288,user317@example.com,317,partner,cmp-00288,2024-05-08
MT-00289,user318@example.com,318,email,cmp-00289,2024-05-09
MT-00290,user319@example.com,319,ads,cmp-00290,2024-05-10
MT-00291,user320@example.com,320,social,cmp-00291,2024-05-11
MT-00292,user321@example.com,321,partner,cmp-00292,2024-05-12
MT-00293,user322@example.com,322,email,cmp-00293,2024-05-13
MT-00294,user323@example.com,323,ads,cmp-00294,2024-05-14
MT-00295,user324@example.com,324,social,cmp-00295,2024-05-15
MT-00296,user325@example.com,325,partner,cmp-00296,2024-05-16
MT-00297,user326@example.com,326,email,cmp-00297,2024-05-17
MT-00298,user327@example.com,327,ads,cmp-00298,2024-05-18
MT-00299,user328@example.com,328,social,cmp-00299,2024-05-19
MT-00300,user329@example.com,329,partner,cmp-00300,2024-05-20
MT-00301,user330@example.com,330,email,cmp-00301,2024-05-21
MT-00302,user331@example.com,331,ads,cmp-00302,2024-05-22
MT-00303,user332@example.com,332,social,cmp-00303,2024-05-23
MT-00304,alan@example.com,333,partner,cmp-00304,2024-05-24
MT-00305,user334@example.com,334,email,cmp-00305,2024-05-25
MT-00306,user335@example.com,335,ads,cmp-00306,2024-05-26
MT-00307,user336@example.com,336,social,cmp-00307,2024-05-27
MT-00308,user337@example.com,337,partner,cmp-00308,2024-05-28
MT-00309,user338@example.com,338,email,cmp-00309,2024-05-01
MT-00310,user339@example.com,339,ads,cmp-00310,2024-05-02
MT-00311,user340@example.com,340,social,cmp-00311,2024-05-03
MT-00312,user341@example.com,341,partner,cmp-00312,2024-05-04
MT-00313,user342@example.com,342,email,cmp-00313,2024-05-05
MT-00314,user343@example.com,343,ads,cmp-00314,2024-05-06
MT-00315,user344@example.com,344,social,cmp-00315,2024-05-07
MT-00316,user345@example.com,345,partner,cmp-00316,2024-05-08
MT-00317,user346@example.com,346,email,cmp-00317,2024-05-09
MT-00318,user347@example.com,347,ads,cmp-00318,2024-05-10
MT-00319,user348@example.com,348,social,cmp-00319,2024-05-11
MT-00320,user349@example.com,349,partner,cmp-00320,2024-05-12
MT-00321,user350@example.com,350,email,cmp-00321,2024-05-13
MT-00322,user351@example.com,351,ads,cmp-00322,2024-05-14
MT-00323,user352@example.com,352,social,cmp-00323,2024-05-15
MT-00324,user353@example.com,353,partner,cmp-00324,2024-05-16
MT-00325,user354@example.com,354,email,cmp-00325,2024-05-17
MT-00326,user355@example.com,355,ads,cmp-00326,2024-05-18
MT-00327,user356@example.com,356,social,cmp-00327,2024-05-19
MT-00328,grace@example.com,357,partner,cmp-00328,2024-05-20
MT-00329,user358@example.com,358,email,cmp-00329,2024-05-21
MT-00330,user359@example.com,359,ads,cmp-00330,2024-05-22
MT-00331,user360@example.com,360,social,cmp-00331,2024-05-23
MT-00332,user361@example.com,361,partner,cmp-00332,2024-05-24
MT-00333,user362@example.com,362,email,cmp-00333,2024-05-25
MT-00334,user363@example.com,363,ads,cmp-00334,2024-05-26
MT-00335,user364@example.com,364,social,cmp-00335,2024-05-27
MT-00336,user365@example.com,365,partner,cmp-00336,2024-05-28
MT-00337,user366@example.com,366,email,cmp-00337,2024-05-01
MT-00338,user367@example.com,367,ads,cmp-00338,2024-05-02
MT-00339,user368@example.com,368,social,cmp-00339,2024-05-03
MT-00340,user369@example.com,369,partner,cmp-00340,2024-05-04
MT-00341,user370@example.com,370,email,cmp-00341,2024-05-05
MT-00342,user371@example.com,371,ads,cmp-00342,2024-05-06
MT-00343,user372@example.com,372,social,cmp-00343,2024-05-07
MT-00344,user373@example.com,373,partner,cmp-00344,2024-05-08
MT-00345,user374@example.com,374,email,cmp-00345,2024-05-09
MT-00346,user375@example.com,375,ads,cmp-00346,2024-05-10
MT-00347,user376@example.com,376,social,cmp-00347,2024-05-11
MT-00348,user377@example.com,377,partner,cmp-00348,2024-05-12
MT-00349,user378@example.com,378,email,cmp-00349,2024-05-13
MT-00350,user379@example.com,379,ads,cmp-00350,2024-05-14
MT-00351,user380@example.com,380,social,cmp-00351,2024-05-15
MT-00352,user381@example.com,381,partner,cmp-00352,2024-05-16
MT-00353,user382@example.com,382,email,cmp-00353,2024-05-17
MT-00354,user383@example.com,383,ads,cmp-00354,2024-05-18
MT-00355,user384@example.com,384,social,cmp-00355,2024-05-19
MT-00356,user385@example.com,385,partner,cmp-00356,2024-05-20
MT-00357,user386@example.com,386,email,cmp-00357,2024-05-21
MT-00358,user387@example.com,387,ads,cmp-00358,2024-05-22
MT-00359,user388@example.com,388,social,cmp-00359,2024-05-23
MT-00360,ada@example.com,389,partner,cmp-00360,2024-05-24
MT-00361,user390@example.com,390,email,cmp-00361,2024-05-25
MT-00362,user391@example.com,391,ads,cmp-00362,2024-05-26
MT-00363,user392@example.com,392,social,cmp-00363,2024-05-27
MT-00364,user393@example.com,393,partner,cmp-00364,2024-05-28
MT-00365,user394@example.com,394,email,cmp-00365,2024-05-01
MT-00366,user395@example.com,395,ads,cmp-00366,2024-05-02
MT-00367,user396@example.com,396,social,cmp-00367,2024-05-03
MT-00368,user397@example.com,397,partner,cmp-00368,2024-05-04
MT-00369,user398@example.com,398,email,cmp-00369,2024-05-05
MT-00370,user399@example.com,399,ads,cmp-00370,2024-05-06
MT-00371,user400@example.com,400,social,cmp-00371,2024-05-07
MT-00372,user401@example.com,401,partner,cmp-00372,2024-05-08
MT-00373,user402@example.com,402,email,cmp-00373,2024-05-09
MT-00374,user403@example.com,403,ads,cmp-00374,2024-05-10
MT-00375,user404@example.com,404,social,cmp-00375,2024-05-11
MT-00376,user405@example.com,405,partner,cmp-00376,2024-05-12
MT-00377,user406@example.com,406,email,cmp-00377,2024-05-13
MT-00378,user407@example.com,407,ads,cmp-00378,2024-05-14
MT-00379,user408@example.com,408,social,cmp-00379,2024-05-15
MT-00380,user409@example.com,409,partner,cmp-00380,2024-05-16
MT-00381,user410@example.com,410,email,cmp-00381,2024-05-17
MT-00382,user411@example.com,411,ads,cmp-00382,2024-05-18
MT-00383,user412@example.com,412,social,cmp-00383,2024-05-19
MT-00384,user413@example.com,413,partner,cmp-00384,2024-05-20
MT-00385,user414@example.com,414,email,cmp-00385,2024-05-21
MT-00386,user415@example.com,415,ads,cmp-00386,2024-05-22
MT-00387,alan@example.com,416,social,cmp-00387,2024-05-23
MT-00388,user417@example.com,417,partner,cmp-00388,2024-05-24
MT-00389,user418@example.com,418,email,cmp-00389,2024-05-25
MT-00390,user419@example.com,419,ads,cmp-00390,2024-05-26
MT-00391,user420@example.com,420,social,cmp-00391,2024-05-27
MT-00392,user421@example.com,421,partner,cmp-00392,2024-05-28
MT-00393,user422@example.com,422,email,cmp-00393,2024-05-01
MT-00394,user423@example.com,423,ads,cmp-00394,2024-05-02
MT-00395,user424@example.com,424,social,cmp-00395,2024-05-03
MT-00396,user425@example.com,425,partner,cmp-00396,2024-05-04
MT-00397,user426@example.com,426,email,cmp-00397,2024-05-05
MT-00398,user427@example.com,427,ads,cmp-00398,2024-05-06
MT-00399,user428@example.com,428,social,cmp-00399,2024-05-07
MT-00400,user429@example.com,429,partner,cmp-00400,2024-05-08
MT-00401,user430@example.com,430,email,cmp-00401,2024-05-09
MT-00402,user431@example.com,431,ads,cmp-00402,2024-05-10
MT-00403,user432@example.com,432,social,cmp-00403,2024-05-11
MT-00404,user433@example.com,433,partner,cmp-00404,2024-05-12
MT-00405,user434@example.com,434,email,cmp-00405,2024-05-13
MT-00406,user435@example.com,435,ads,cmp-00406,2024-05-14
MT-00407,user436@example.com,436,social,cmp-00407,2024-05-15
MT-00408,user437@example.com,437,partner,cmp-00408,2024-05-16
MT-00409,user438@example.com,438,email,cmp-00409,2024-05-17
MT-00410,user439@example.com,439,ads,cmp-00410,2024-05-18
MT-00411,user440@example.com,440,social,cmp-00411,2024-05-19
MT-00412,user441@example.com,441,partner,cmp-00412,2024-05-20
MT-00413,user442@example.com,442,email,cmp-00413,2024-05-21
MT-00414,user443@example.com,443,ads,cmp-00414,2024-05-22
MT-00415,user444@example.com,444,social,cmp-00415,2024-05-23
MT-00416,user445@example.com,445,partner,cmp-00416,2024-05-24
MT-00417,grace@example.com,446,email,cmp-00417,2024-05-25
MT-00418,user447@example.com,447,ads,cmp-00418,2024-05-26
MT-00419,user448@example.com,448,social,cmp-00419,2024-05-27
MT-00420,user449@example.com,449,partner,cmp-00420,2024-05-28
MT-00421,user450@example.com,450,email,cmp-00421,2024-05-01
MT-00422,user451@example.com,451,ads,cmp-00422,2024-05-02
MT-00423,user452@example.com,452,social,cmp-00423,2024-05-03
MT-00424,user453@example.com,453,partner,cmp-00424,2024-05-04
MT-00425,user454@example.com,454,email,cmp-00425,2024-05-05
MT-00426,user455@example.com,455,ads,cmp-00426,2024-05-06
MT-00427,user456@example.com,456,social,cmp-00427,2024-05-07
MT-00428,user457@example.com,457,partner,cmp-00428,2024-05-08
MT-00429,user458@example.com,458,email,cmp-00429,2024-05-09
MT-00430,user459@example.com,459,ads,cmp-00430,2024-05-10
MT-00431,user460@example.com,460,social,cmp-00431,2024-05-11
MT-00432,user461@example.com,461,partner,cmp-00432,2024-05-12
MT-00433,user462@example.com,462,email,cmp-00433,2024-05-13
MT-00434,user463@example.com,463,ads,cmp-00434,2024-05-14
MT-00435,user464@example.com,464,social,cmp-00435,2024-05-15
MT-00436,user465@example.com,465,partner,cmp-00436,2024-05-16
MT-00437,user466@example.com,466,email,cmp-00437,2024-05-17
MT-00438,user467@example.com,467,ads,cmp-00438,2024-05-18
MT-00439,user468@example.com,468,social,cmp-00439,2024-05-19
MT-00440,user469@example.com,469,partner,cmp-00440,2024-05-20
MT-00441,user470@example.com,470,email,cmp-00441,2024-05-21
MT-00442,user471@example.com,471,ads,cmp-00442,2024-05-22
