device_id,email,customer_id,os,os_version,app_version,manufacturer,model,push_enabled,locale,timezone,last_seen,battery_pct,network,rooted
DEV-00109,user122@example.com,122,macos,13.0,1.0.3,Dell,Model-29,true,fr-FR,UTC,2024-08-25,56,wifi,false
DEV-00110,user123@example.com,123,linux,14.1,1.1.4,Lenovo,Model-30,false,hi-IN,America/New_York,2024-08-26,63,cellular,false
DEV-00111,user124@example.com,124,ios,10.2,1.2.0,Apple,Model-31,true,en-US,Europe/London,2024-08-27,70,ethernet,false
DEV-00112,user125@example.com,125,android,11.3,1.3.1,Samsung,Model-32,false,en-GB,Asia/Kolkata,2024-08-28,77,wifi,false
DEV-00113,user126@example.com,126,windows,12.4,1.4.2,Google,Model-33,true,de-DE,UTC,2024-08-01,84,cellular,false
DEV-00114,user127@example.com,127,macos,13.5,1.5.3,Dell,Model-34,false,fr-FR,America/New_York,2024-08-02,91,ethernet,false
DEV-00115,user128@example.com,128,linux,14.6,1.6.4,Lenovo,Model-35,true,hi-IN,Europe/London,2024-08-03,98,wifi,false
DEV-00116,user129@example.com,129,ios,10.7,1.7.0,Apple,Model-36,false,en-US,Asia/Kolkata,2024-08-04,5,cellular,true
DEV-00117,user130@example.com,130,android,11.8,1.8.1,Samsung,Model-37,true,en-GB,UTC,2024-08-05,12,ethernet,false
DEV-00118,user131@example.com,131,windows,12.0,1.0.2,Google,Model-38,false,de-DE,America/New_York,2024-08-06,19,wifi,false
DEV-00119,user132@example.com,132,macos,13.1,1.1.3,Dell,Model-39,true,fr-FR,Europe/London,2024-08-07,26,cellular,false
DEV-00120,user133@example.com,133,linux,14.2,1.2.4,Lenovo,Model-40,false,hi-IN,Asia/Kolkata,2024-08-08,33,ethernet,false
DEV-00121,user134@example.com,134,ios,10.3,1.3.0,Apple,Model-1,true,en-US,UTC,2024-08-09,40,wifi,false
DEV-00122,user135@example.com,135,android,11.4,1.4.1,Samsung,Model-2,false,en-GB,America/New_York,2024-08-10,47,cellular,false
DEV-00123,user136@example.com,136,windows,12.5,1.5.2,Google,Model-3,true,de-DE,Europe/London,2024-08-11,54,ethernet,false
DEV-00124,user137@example.com,137,macos,13.6,1.6.3,Dell,Model-4,false,fr-FR,Asia/Kolkata,2024-08-12,61,wifi,false
DEV-00125,user138@example.com,138,linux,14.7,1.7.4,Lenovo,Model-5,true,hi-IN,UTC,2024-08-13,68,cellular,false
DEV-00126,user139@example.com,139,ios,10.8,1.8.0,Apple,Model-6,false,en-US,America/New_York,2024-08-14,75,ethernet,false
DEV-00127,user140@example.com,140,android,11.0,1.0.1,Samsung,Model-7,true,en-GB,Europe/London,2024-08-15,82,wifi,false
DEV-00128,user141@example.com,141,windows,12.1,1.1.2,Google,Model-8,false,de-DE,Asia/Kolkata,2024-08-16,89,cellular,false
DEV-00129,user142@example.com,142,macos,13.2,1.2.3,Dell,Model-9,true,fr-FR,UTC,2024-08-17,96,ethernet,false
DEV-00130,user143@example.com,143,linux,14.3,1.3.4,Lenovo,Model-10,false,hi-IN,America/New_York,2024-08-18,3,wifi,false
DEV-00131,user144@example.com,144,ios,10.4,1.4.0,Apple,Model-11,true,en-US,Europe/London,2024-08-19,10,cellular,false
DEV-00132,user145@example.com,145,android,11.5,1.5.1,Samsung,Model-12,false,en-GB,Asia/Kolkata,2024-08-20,17,ethernet,false
DEV-00133,user146@example.com,146,windows,12.6,1.6.2,Google,Model-13,true,de-DE,UTC,2024-08-21,24,wifi,false
DEV-00134,user147@example.com,147,macos,13.7,1.7.3,Dell,Model-14,false,fr-FR,America/New_York,2024-08-22,31,cellular,false
DEV-00135,user148@example.com,148,linux,14.8,1.8.4,Lenovo,Model-15,true,hi-IN,Europe/London,2024-08-23,38,ethernet,false
DEV-00136,user149@example.com,149,ios,10.0,1.0.0,Apple,Model-16,false,en-US,Asia/Kolkata,2024-08-24,45,wifi,false
DEV-00137,user150@example.com,150,android,11.1,1.1.1,Samsung,Model-17,true,en-GB,UTC,2024-08-25,52,cellular,false
DEV-00138,user151@example.com,151,windows,12.2,1.2.2,Google,Model-18,false,de-DE,America/New_York,2024-08-26,59,ethernet,false
DEV-00139,user152@example.com,152,macos,13.3,1.3.3,Dell,Model-19,true,fr-FR,Europe/London,2024-08-27,66,wifi,true
DEV-00140,user153@example.com,153,linux,14.4,1.4.4,Lenovo,Model-20,false,hi-IN,Asia/Kolkata,2024-08-28,73,cellular,false
DEV-00141,user154@example.com,154,ios,10.5,1.5.0,Apple,Model-21,true,en-US,UTC,2024-08-01,80,ethernet,false
DEV-00142,user155@example.com,155,android,11.6,1.6.1,Samsung,Model-22,false,en-GB,America/New_York,2024-08-02,87,wifi,false
DEV-00143,user156@example.com,156,windows,12.7,1.7.2,Google,Model-23,true,de-DE,Europe/London,2024-08-03,94,cellular,false
DEV-00144,user157@example.com,157,macos,13.8,1.8.3,Dell,Model-24,false,fr-FR,Asia/Kolkata,2024-08-04,1,ethernet,false
DEV-00145,user158@example.com,158,linux,14.0,1.0.4,Lenovo,Model-25,true,hi-IN,UTC,2024-08-05,8,wifi,false
DEV-00146,user159@example.com,159,ios,10.1,1.1.0,Apple,Model-26,false,en-US,America/New_York,2024-08-06,15,cellular,false
DEV-00147,user160@example.com,160,android,11.2,1.2.1,Samsung,Model-27,true,en-GB,Europe/London,2024-08-07,22,ethernet,false
DEV-00148,user161@example.com,161,windows,12.3,1.3.2,Google,Model-28,false,de-DE,Asia/Kolkata,2024-08-08,29,wifi,false
DEV-00149,user162@example.com,162,macos,13.4,1.4.3,Dell,Model-29,true,fr-FR,UTC,2024-08-09,36,cellular,false
DEV-00150,user163@example.com,163,linux,14.5,1.5.4,Lenovo,Model-30,false,hi-IN,America/New_York,2024-08-10,43,ethernet,false
DEV-00151,user164@example.com,164,ios,10.6,1.6.0,Apple,Model-31,true,en-US,Europe/London,2024-08-11,50,wifi,false
DEV-00152,user165@example.com,165,android,11.7,1.7.1,Samsung,Model-32,false,en-GB,Asia/Kolkata,2024-08-12,57,cellular,false
DEV-00153,user166@example.com,166,windows,12.8,1.8.2,Google,Model-33,true,de-DE,UTC,2024-08-13,64,ethernet,false
DEV-00154,alan@example.com,167,macos,13.0,1.0.3,Dell,Model-34,false,fr-FR,America/New_York,2024-08-14,71,wifi,false
DEV-00155,user168@example.com,168,linux,14.1,1.1.4,Lenovo,Model-35,true,hi-IN,Europe/London,2024-08-15,78,cellular,false
DEV-00156,user169@example.com,169,ios,10.2,1.2.0,Apple,Model-36,false,en-US,Asia/Kolkata,2024-08-16,85,ethernet,false
DEV-00157,user170@example.com,170,android,11.3,1.3.1,Samsung,Model-37,true,en-GB,UTC,2024-08-17,92,wifi,false
DEV-00158,user171@example.com,171,windows,12.4,1.4.2,Google,Model-38,false,de-DE,America/New_York,2024-08-18,99,cellular,false
DEV-00159,user172@example.com,172,macos,13.5,1.5.3,Dell,Model-39,true,fr-FR,Europe/London,2024-08-19,6,ethernet,false
DEV-00160,user173@example.com,173,linux,14.6,1.6.4,Lenovo,Model-40,false,hi-IN,Asia/Kolkata,2024-08-20,13,wifi,false
DEV-00161,user174@example.com,174,ios,10.7,1.7.0,Apple,Model-1,true,en-US,UTC,2024-08-21,20,cellular,false
DEV-00162,user175@example.com,175,android,11.8,1.8.1,Samsung,Model-2,false,en-GB,America/New_York,2024-08-22,27,ethernet,true
DEV-00163,user176@example.com,176,windows,12.0,1.0.2,Google,Model-3,true,de-DE,Europe/London,2024-08-23,34,wifi,false
DEV-00164,user177@example.com,177,macos,13.1,1.1.3,Dell,Model-4,false,fr-FR,Asia/Kolkata,2024-08-24,41,cellular,false
DEV-00165,user178@example.com,178,linux,14.2,1.2.4,Lenovo,Model-5,true,hi-IN,UTC,2024-08-25,48,ethernet,false
DEV-00166,grace@example.com,179,ios,10.3,1.3.0,Apple,Model-6,false,en-US,America/New_York,2024-08-26,55,wifi,false
DEV-00167,user180@example.com,180,android,11.4,1.4.1,Samsung,Model-7,true,en-GB,Europe/London,2024-08-27,62,cellular,false
DEV-00168,user181@example.com,181,windows,12.5,1.5.2,Google,Model-8,false,de-DE,Asia/Kolkata,2024-08-28,69,ethernet,false
DEV-00169,user182@example.com,182,macos,13.6,1.6.3,Dell,Model-9,true,fr-FR,UTC,2024-08-01,76,wifi,false
DEV-00170,user183@example.com,183,linux,14.7,1.7.4,Lenovo,Model-10,false,hi-IN,America/New_York,2024-08-02,83,cellular,false
DEV-00171,user184@example.com,184,ios,10.8,1.8.0,Apple,Model-11,true,en-US,Europe/London,2024-08-03,90,ethernet,false
DEV-00172,user185@example.com,185,android,11.0,1.0.1,Samsung,Model-12,false,en-GB,Asia/Kolkata,2024-08-04,97,wifi,false
DEV-00173,user186@example.com,186,windows,12.1,1.1.2,Google,Model-13,true,de-DE,UTC,2024-08-05,4,cellular,false
DEV-00174,user187@example.com,187,macos,13.2,1.2.3,Dell,Model-14,false,fr-FR,America/New_York,2024-08-06,11,ethernet,false
DEV-00175,user188@example.com,188,linux,14.3,1.3.4,Lenovo,Model-15,true,hi-IN,Europe/London,2024-08-07,18,wifi,false
DEV-00176,user189@example.com,189,ios,10.4,1.4.0,Apple,Model-16,false,en-US,Asia/Kolkata,2024-08-08,25,cellular,false
DEV-00177,user190@example.com,190,android,11.5,1.5.1,Samsung,Model-17,true,en-GB,UTC,2024-08-09,32,ethernet,false
DEV-00178,user191@example.com,191,windows,12.6,1.6.2,Google,Model-18,false,de-DE,America/New_York,2024-08-10,39,wifi,false
DEV-00179,user192@example.com,192,macos,13.7,1.7.3,Dell,Model-19,true,fr-FR,Europe/London,2024-08-11,46,cellular,false
DEV-00180,user193@example.com,193,linux,14.8,1.8.4,Lenovo,Model-20,false,hi-IN,Asia/Kolkata,2024-08-12,53,ethernet,false
DEV-00181,user194@example.com,194,ios,10.0,1.0.0,Apple,Model-21,true,en-US,UTC,2024-08-13,60,wifi,false
DEV-00182,ada@example.com,195,android,11.1,1.1.1,Samsung,Model-22,false,en-GB,America/New_York,2024-08-14,67,cellular,false
DEV-00183,user196@example.com,196,windows,12.2,1.2.2,Google,Model-23,true,de-DE,Europe/London,2024-08-15,74,ethernet,false
DEV-00184,user197@example.com,197,macos,13.3,1.3.3,Dell,Model-24,false,fr-FR,Asia/Kolkata,2024-08-16,81,wifi,false
DEV-00185,user198@example.com,198,linux,14.4,1.4.4,Lenovo,Model-25,true,hi-IN,UTC,2024-08-17,88,cellular,true
DEV-00186,user199@example.com,199,ios,10.5,1.5.0,Apple,Model-26,false,en-US,America/New_York,2024-08-18,95,ethernet,false
DEV-00187,user200@example.com,200,android,11.6,1.6.1,Samsung,Model-27,true,en-GB,Europe/London,2024-08-19,2,wifi,false
DEV-00188,user201@example.com,201,windows,12.7,1.7.2,Google,Model-28,false,de-DE,Asia/Kolkata,2024-08-20,9,cellular,false
DEV-00189,user202@example.com,202,macos,13.8,1.8.3,Dell,Model-29,true,fr-FR,UTC,2024-08-21,16,ethernet,false
DEV-00190,user203@example.com,203,linux,14.0,1.0.4,Lenovo,Model-30,false,hi-IN,America/New_York,2024-08-22,23,wifi,false
DEV-00191,user204@example.com,204,ios,10.1,1.1.0,Apple,Model-31,true,en-US,Europe/London,2024-08-23,30,cellular,false
DEV-00192,user205@example.com,205,android,11.2,1.2.1,Samsung,Model-32,false,en-GB,Asia/Kolkata,2024-08-24,37,ethernet,false
DEV-00193,user206@example.com,206,windows,12.3,1.3.2,Google,Model-33,true,de-DE,UTC,2024-08-25,44,wifi,false
DEV-00194,user207@example.com,207,macos,13.4,1.4.3,Dell,Model-34,false,fr-FR,America/New_York,2024-08-26,51,cellular,false
DEV-00195,user208@example.com,208,linux,14.5,1.5.4,Lenovo,Model-35,true,hi-IN,Europe/London,2024-08-27,58,ethernet,false
DEV-00196,user209@example.com,209,ios,10.6,1.6.0,Apple,Model-36,false,en-US,Asia/Kolkata,2024-08-28,65,wifi,false
DEV-00197,user210@example.com,210,android,11.7,1.7.1,Samsung,Model-37,true,en-GB,UTC,2024-08-01,72,cellular,false
DEV-00198,user211@example.com,211,windows,12.8,1.8.2,Google,Model-38,false,de-DE,America/New_York,2024-08-02,79,ethernet,false
DEV-00199,user212@example.com,212,macos,13.0,1.0.3,Dell,Model-39,true,fr-FR,Europe/London,2024-08-03,86,wifi,false
DEV-00200,user213@example.com,213,linux,14.1,1.1.4,Lenovo,Model-40,false,hi-IN,Asia/Kolkata,2024-08-04,93,cellular,false
DEV-00201,user214@example.com,214,ios,10.2,1.2.0,Apple,Model-1,true,en-US,UTC,2024-08-05,0,ethernet,false
DEV-00202,user215@example.com,215,android,11.3,1.3.1,Samsung,Model-2,false,en-GB,America/New_York,2024-08-06,7,wifi,false
DEV-00203,user216@example.com,216,windows,12.4,1.4.2,Google,Model-3,true,de-DE,Europe/London,2024-08-07,14,cellular,false
DEV-00204,user217@example.com,217,macos,13.5,1.5.3,Dell,Model-4,false,fr-FR,Asia/Kolkata,2024-08-08,21,ethernet,false
DEV-00205,user218@example.com,218,linux,14.6,1.6.4,Lenovo,Model-5,true,hi-IN,UTC,2024-08-09,28,wifi,false
DEV-00206,user219@example.com,219,ios,10.7,1.7.0,Apple,Model-6,false,en-US,America/New_York,2024-08-10,35,cellular,false
