refund_id,email,customer_id,invoice_id,amount_usd,reason,status,created_at
RF-00088,user119@example.com,119,INV-00088,458,defect,pending,2024-07-04
RF-00089,user120@example.com,120,INV-00089,469,duplicate,approved,2024-07-05
RF-00090,user121@example.com,121,INV-00090,480,fraud,rejected,2024-07-06
RF-00091,user122@example.com,122,INV-00091,491,goodwill,pending,2024-07-07
RF-00092,user123@example.com,123,INV-00092,2,defect,approved,2024-07-08
RF-00093,user124@example.com,124,INV-00093,13,duplicate,rejected,2024-07-09
RF-00094,user125@example.com,125,INV-00094,24,fraud,pending,2024-07-10
RF-00095,user126@example.com,126,INV-00095,35,goodwill,approved,2024-07-11
RF-00096,user127@example.com,127,INV-00096,46,defect,rejected,2024-07-12
RF-00097,user128@example.com,128,INV-00097,57,duplicate,pending,2024-07-13
RF-00098,user129@example.com,129,INV-00098,68,fraud,approved,2024-07-14
RF-00099,user130@example.com,130,INV-00099,79,goodwill,rejected,2024-07-15
RF-00100,user131@example.com,131,INV-00100,90,defect,pending,2024-07-16
RF-00101,user132@example.com,132,INV-00101,101,duplicate,approved,2024-07-17
RF-00102,user133@example.com,133,INV-00102,112,fraud,rejected,2024-07-18
RF-00103,user134@example.com,134,INV-00103,123,goodwill,pending,2024-07-19
RF-00104,user135@example.com,135,INV-00104,134,defect,approved,2024-07-20
RF-00105,user136@example.com,136,INV-00105,145,duplicate,rejected,2024-07-21
RF-00106,user137@example.com,137,INV-00106,156,fraud,pending,2024-07-22
RF-00107,user138@example.com,138,INV-00107,167,goodwill,approved,2024-07-23
RF-00108,user139@example.com,139,INV-00108,178,defect,rejected,2024-07-24
RF-00109,user140@example.com,140,INV-00109,189,duplicate,pending,2024-07-25
RF-00110,user141@example.com,141,INV-00110,200,fraud,approved,2024-07-26
RF-00111,user142@example.com,142,INV-00111,211,goodwill,rejected,2024-07-27
RF-00112,user143@example.com,143,INV-00112,222,defect,pending,2024-07-28
RF-00113,user144@example.com,144,INV-00113,233,duplicate,approved,2024-07-01
RF-00114,user145@example.com,145,INV-00114,244,fraud,rejected,2024-07-02
RF-00115,user146@example.com,146,INV-00115,255,goodwill,pending,2024-07-03
RF-00116,user147@example.com,147,INV-00116,266,defect,approved,2024-07-04
RF-00117,user148@example.com,148,INV-00117,277,duplicate,rejected,2024-07-05
RF-00118,user149@example.com,149,INV-00118,288,fraud,pending,2024-07-06
RF-00119,user150@example.com,150,INV-00119,299,goodwill,approved,2024-07-07
RF-00120,user151@example.com,151,INV-00120,310,defect,rejected,2024-07-08
RF-00121,user152@example.com,152,INV-00121,321,duplicate,pending,2024-07-09
RF-00122,user153@example.com,153,INV-00122,332,fraud,approved,2024-07-10
RF-00123,user154@example.com,154,INV-00123,343,goodwill,rejected,2024-07-11
RF-00124,user155@example.com,155,INV-00124,354,defect,pending,2024-07-12
RF-00125,user156@example.com,156,INV-00125,365,duplicate,approved,2024-07-13
RF-00126,user157@example.com,157,INV-00126,376,fraud,rejected,2024-07-14
RF-00127,user158@example.com,158,INV-00127,387,goodwill,pending,2024-07-15
RF-00128,user159@example.com,159,INV-00128,398,defect,approved,2024-07-16
RF-00129,user160@example.com,160,INV-00129,409,duplicate,rejected,2024-07-17
RF-00130,user161@example.com,161,INV-00130,420,fraud,pending,2024-07-18
RF-00131,user162@example.com,162,INV-00131,431,goodwill,approved,2024-07-19
RF-00132,user163@example.com,163,INV-00132,442,defect,rejected,2024-07-20
RF-00133,user164@example.com,164,INV-00133,453,duplicate,pending,2024-07-21
RF-00134,user165@example.com,165,INV-00134,464,fraud,approved,2024-07-22
RF-00135,user166@example.com,166,INV-00135,475,goodwill,rejected,2024-07-23
RF-00136,alan@example.com,167,INV-00136,486,defect,pending,2024-07-24
RF-00137,user168@example.com,168,INV-00137,497,duplicate,approved,2024-07-25
RF-00138,user169@example.com,169,INV-00138,8,fraud,rejected,2024-07-26
RF-00139,user170@example.com,170,INV-00139,19,goodwill,pending,2024-07-27
RF-00140,user171@example.com,171,INV-00140,30,defect,approved,2024-07-28
RF-00141,user172@example.com,172,INV-00141,41,duplicate,rejected,2024-07-01
RF-00142,user173@example.com,173,INV-00142,52,fraud,pending,2024-07-02
RF-00143,user174@example.com,174,INV-00143,63,goodwill,approved,2024-07-03
RF-00144,user175@example.com,175,INV-00144,74,defect,rejected,2024-07-04
RF-00145,user176@example.com,176,INV-00145,85,duplicate,pending,2024-07-05
RF-00146,user177@example.com,177,INV-00146,96,fraud,approved,2024-07-06
RF-00147,user178@example.com,178,INV-00147,107,goodwill,rejected,2024-07-07
RF-00148,grace@example.com,179,INV-00148,118,defect,pending,2024-07-08
RF-00149,user180@example.com,180,INV-00149,129,duplicate,approved,2024-07-09
RF-00150,user181@example.com,181,INV-00150,140,fraud,rejected,2024-07-10
RF-00151,user182@example.com,182,INV-00151,151,goodwill,pending,2024-07-11
RF-00152,user183@example.com,183,INV-00152,162,defect,approved,2024-07-12
RF-00153,user184@example.com,184,INV-00153,173,duplicate,rejected,2024-07-13
RF-00154,user185@example.com,185,INV-00154,184,fraud,pending,2024-07-14
RF-00155,user186@example.com,186,INV-00155,195,goodwill,approved,2024-07-15
RF-00156,user187@example.com,187,INV-00156,206,defect,rejected,2024-07-16
RF-00157,user188@example.com,188,INV-00157,217,duplicate,pending,2024-07-17
RF-00158,user189@example.com,189,INV-00158,228,fraud,approved,2024-07-18
RF-00159,user190@example.com,190,INV-00159,239,goodwill,rejected,2024-07-19
RF-00160,user191@example.com,191,INV-00160,250,defect,pending,2024-07-20
RF-00161,user192@example.com,192,INV-00161,261,duplicate,approved,2024-07-21
RF-00162,user193@example.com,193,INV-00162,272,fraud,rejected,2024-07-22
RF-00163,user194@example.com,194,INV-00163,283,goodwill,pending,2024-07-23
RF-00164,ada@example.com,195,INV-00164,294,defect,approved,2024-07-24
RF-00165,user196@example.com,196,INV-00165,305,duplicate,rejected,2024-07-25
RF-00166,user197@example.com,197,INV-00166,316,fraud,pending,2024-07-26
RF-00167,user198@example.com,198,INV-00167,327,goodwill,approved,2024-07-27
RF-00168,user199@example.com,199,INV-00168,338,defect,rejected,2024-07-28
RF-00169,user200@example.com,200,INV-00169,349,duplicate,pending,2024-07-01
RF-00170,user201@example.com,201,INV-00170,360,fraud,approved,2024-07-02
RF-00171,user202@example.com,202,INV-00171,371,goodwill,rejected,2024-07-03
RF-00172,user203@example.com,203,INV-00172,382,defect,pending,2024-07-04
RF-00173,user204@example.com,204,INV-00173,393,duplicate,approved,2024-07-05
RF-00174,user205@example.com,205,INV-00174,404,fraud,rejected,2024-07-06
RF-00175,user206@example.com,206,INV-00175,415,goodwill,pending,2024-07-07
RF-00176,user207@example.com,207,INV-00176,426,defect,approved,2024-07-08
RF-00177,user208@example.com,208,INV-00177,437,duplicate,rejected,2024-07-09
RF-00178,user209@example.com,209,INV-00178,448,fraud,pending,2024-07-10
RF-00179,user210@example.com,210,INV-00179,459,goodwill,approved,2024-07-11
RF-00180,user211@example.com,211,INV-00180,470,defect,rejected,2024-07-12
RF-00181,user212@example.com,212,INV-00181,481,duplicate,pending,2024-07-13
RF-00182,user213@example.com,213,INV-00182,492,fraud,approved,2024-07-14
RF-00183,user214@example.com,214,INV-00183,3,goodwill,rejected,2024-07-15
RF-00184,user215@example.com,215,INV-00184,14,defect,pending,2024-07-16
RF-00185,user216@example.com,216,INV-00185,25,duplicate,approved,2024-07-17
RF-00186,user217@example.com,217,INV-00186,36,fraud,rejected,2024-07-18
RF-00187,user218@example.com,218,INV-00187,47,goodwill,pending,2024-07-19
RF-00188,user219@example.com,219,INV-00188,58,defect,approved,2024-07-20
RF-00189,user220@example.com,220,INV-00189,69,duplicate,rejected,2024-07-21
RF-00190,user221@example.com,221,INV-00190,80,fraud,pending,2024-07-22
RF-00191,user222@example.com,222,INV-00191,91,goodwill,approved,2024-07-23
RF-00192,user223@example.com,223,INV-00192,102,defect,rejected,2024-07-24
RF-00193,user224@example.com,224,INV-00193,113,duplicate,pending,2024-07-25
RF-00194,user225@example.com,225,INV-00194,124,fraud,approved,2024-07-26
RF-00195,user226@example.com,226,INV-00195,135,goodwill,rejected,2024-07-27
RF-00196,user227@example.com,227,INV-00196,146,defect,pending,2024-07-28
RF-00197,user228@example.com,228,INV-00197,157,duplicate,approved,2024-07-01
RF-00198,user229@example.com,229,INV-00198,168,fraud,rejected,2024-07-02
RF-00199,user230@example.com,230,INV-00199,179,goodwill,pending,2024-07-03
RF-00200,user231@example.com,231,INV-00200,190,defect,approved,2024-07-04
RF-00201,user232@example.com,232,INV-00201,201,duplicate,rejected,2024-07-05
RF-00202,user233@example.com,233,INV-00202,212,fraud,pending,2024-07-06
RF-00203,user234@example.com,234,INV-00203,223,goodwill,approved,2024-07-07
RF-00204,user235@example.com,235,INV-00204,234,defect,rejected,2024-07-08
RF-00205,user236@example.com,236,INV-00205,245,duplicate,pending,2024-07-09
RF-00206,user237@example.com,237,INV-00206,256,fraud,approved,2024-07-10
RF-00207,user238@example.com,238,INV-00207,267,goodwill,rejected,2024-07-11
RF-00208,user239@example.com,239,INV-00208,278,defect,pending,2024-07-12
RF-00209,user240@example.com,240,INV-00209,289,duplicate,approved,2024-07-13
RF-00210,user241@example.com,241,INV-00210,300,fraud,rejected,2024-07-14
RF-00211,user242@example.com,242,INV-00211,311,goodwill,pending,2024-07-15
RF-00212,user243@example.com,243,INV-00212,322,defect,approved,2024-07-16
RF-00213,user244@example.com,244,INV-00213,333,duplicate,rejected,2024-07-17
RF-00214,user245@example.com,245,INV-00214,344,fraud,pending,2024-07-18
RF-00215,user246@example.com,246,INV-00215,355,goodwill,approved,2024-07-19
RF-00216,user247@example.com,247,INV-00216,366,defect,rejected,2024-07-20
RF-00217,user248@example.com,248,INV-00217,377,duplicate,pending,2024-07-21
RF-00218,user249@example.com,249,INV-00218,388,fraud,approved,2024-07-22
RF-00219,alan@example.com,250,INV-00219,399,goodwill,rejected,2024-07-23
RF-00220,user251@example.com,251,INV-00220,410,defect,pending,2024-07-24
RF-00221,user252@example.com,252,INV-00221,421,duplicate,approved,2024-07-25
RF-00222,user253@example.com,253,INV-00222,432,fraud,rejected,2024-07-26
RF-00223,user254@example.com,254,INV-00223,443,goodwill,pending,2024-07-27
RF-00224,user255@example.com,255,INV-00224,454,defect,approved,2024-07-28
RF-00225,user256@example.com,256,INV-00225,465,duplicate,rejected,2024-07-01
RF-00226,user257@example.com,257,INV-00226,476,fraud,pending,2024-07-02
RF-00227,user258@example.com,258,INV-00227,487,goodwill,approved,2024-07-03
RF-00228,user259@example.com,259,INV-00228,498,defect,rejected,2024-07-04
RF-00229,user260@example.com,260,INV-00229,9,duplicate,pending,2024-07-05
RF-00230,user261@example.com,261,INV-00230,20,fraud,approved,2024-07-06
RF-00231,user262@example.com,262,INV-00231,31,goodwill,rejected,2024-07-07
RF-00232,user263@example.com,263,INV-00232,42,defect,pending,2024-07-08
RF-00233,user264@example.com,264,INV-00233,53,duplicate,approved,2024-07-09
RF-00234,user265@example.com,265,INV-00234,64,fraud,rejected,2024-07-10
RF-00235,user266@example.com,266,INV-00235,75,goodwill,pending,2024-07-11
RF-00236,user267@example.com,267,INV-00236,86,defect,approved,2024-07-12
RF-00237,grace@example.com,268,INV-00237,97,duplicate,rejected,2024-07-13
RF-00238,user269@example.com,269,INV-00238,108,fraud,pending,2024-07-14
RF-00239,user270@example.com,270,INV-00239,119,goodwill,approved,2024-07-15
RF-00240,user271@example.com,271,INV-00240,130,defect,rejected,2024-07-16
RF-00241,user272@example.com,272,INV-00241,141,duplicate,pending,2024-07-17
RF-00242,user273@example.com,273,INV-00242,152,fraud,approved,2024-07-18
RF-00243,user274@example.com,274,INV-00243,163,goodwill,rejected,2024-07-19
RF-00244,user275@example.com,275,INV-00244,174,defect,pending,2024-07-20
RF-00245,user276@example.com,276,INV-00245,185,duplicate,approved,2024-07-21
RF-00246,user277@example.com,277,INV-00246,196,fraud,rejected,2024-07-22
RF-00247,user278@example.com,278,INV-00247,207,goodwill,pending,2024-07-23
RF-00248,user279@example.com,279,INV-00248,218,defect,approved,2024-07-24
RF-00249,user280@example.com,280,INV-00249,229,duplicate,rejected,2024-07-25
RF-00250,user281@example.com,281,INV-00250,240,fraud,pending,2024-07-26
RF-00251,user282@example.com,282,INV-00251,251,goodwill,approved,2024-07-27
RF-00252,user283@example.com,283,INV-00252,262,defect,rejected,2024-07-28
RF-00253,user284@example.com,284,INV-00253,273,duplicate,pending,2024-07-01
RF-00254,user285@example.com,285,INV-00254,284,fraud,approved,2024-07-02
RF-00255,user286@example.com,286,INV-00255,295,goodwill,rejected,2024-07-03
RF-00256,user287@example.com,287,INV-00256,306,defect,pending,2024-07-04
RF-00257,user288@example.com,288,INV-00257,317,duplicate,approved,2024-07-05
RF-00258,user289@example.com,289,INV-00258,328,fraud,rejected,2024-07-06
RF-00259,user290@example.com,290,INV-00259,339,goodwill,pending,2024-07-07
RF-00260,user291@example.com,291,INV-00260,350,defect,approved,2024-07-08
RF-00261,ada@example.com,292,INV-00261,361,duplicate,rejected,2024-07-09
RF-00262,user293@example.com,293,INV-00262,372,fraud,pending,2024-07-10
RF-00263,user294@example.com,294,INV-00263,383,goodwill,approved,2024-07-11
RF-00264,user295@example.com,295,INV-00264,394,defect,rejected,2024-07-12
RF-00265,user296@example.com,296,INV-00265,405,duplicate,pending,2024-07-13
RF-00266,user297@example.com,297,INV-00266,416,fraud,approved,2024-07-14
RF-00267,user298@example.com,298,INV-00267,427,goodwill,rejected,2024-07-15
RF-00268,user299@example.com,299,INV-00268,438,defect,pending,2024-07-16
RF-00269,user300@example.com,300,INV-00269,449,duplicate,approved,2024-07-17
RF-00270,user301@example.com,301,INV-00270,460,fraud,rejected,2024-07-18
RF-00271,user302@example.com,302,INV-00271,471,goodwill,pending,2024-07-19
RF-00272,user303@example.com,303,INV-00272,482,defect,approved,2024-07-20
RF-00273,user304@example.com,304,INV-00273,493,duplicate,rejected,2024-07-21
RF-00274,user305@example.com,305,INV-00274,4,fraud,pending,2024-07-22
RF-00275,user306@example.com,306,INV-00275,15,goodwill,approved,2024-07-23
RF-00276,user307@example.com,307,INV-00276,26,defect,rejected,2024-07-24
RF-00277,user308@example.com,308,INV-00277,37,duplicate,pending,2024-07-25
RF-00278,user309@example.com,309,INV-00278,48,fraud,approved,2024-07-26
RF-00279,user310@example.com,310,INV-00279,59,goodwill,rejected,2024-07-27
RF-00280,user311@example.com,311,INV-00280,70,defect,pending,2024-07-28
RF-00281,user312@example.com,312,INV-00281,81,duplicate,approved,2024-07-01
RF-00282,user313@example.com,313,INV-00282,92,fraud,rejected,2024-07-02
RF-00283,user314@example.com,314,INV-00283,103,goodwill,pending,2024-07-03
RF-00284,user315@example.com,315,INV-00284,114,defect,approved,2024-07-04
RF-00285,user316@example.com,316,INV-00285,125,duplicate,rejected,2024-07-05
RF-00286,user317@example.com,317,INV-00286,136,fraud,pending,2024-07-06
RF-00287,user318@example.com,318,INV-00287,147,goodwill,approved,2024-07-07
RF-00288,user319@example.com,319,INV-00288,158,defect,rejected,2024-07-08
RF-00289,user320@example.com,320,INV-00289,169,duplicate,pending,2024-07-09
RF-00290,user321@example.com,321,INV-00290,180,fraud,approved,2024-07-10
RF-00291,user322@example.com,322,INV-00291,191,goodwill,rejected,2024-07-11
RF-00292,user323@example.com,323,INV-00292,202,defect,pending,2024-07-12
RF-00293,user324@example.com,324,INV-00293,213,duplicate,approved,2024-07-13
RF-00294,user325@example.com,325,INV-00294,224,fraud,rejected,2024-07-14
RF-00295,user326@example.com,326,INV-00295,235,goodwill,pending,2024-07-15
RF-00296,user327@example.com,327,INV-00296,246,defect,approved,2024-07-16
RF-00297,user328@example.com,328,INV-00297,257,duplicate,rejected,2024-07-17
RF-00298,user329@example.com,329,INV-00298,268,fraud,pending,2024-07-18
RF-00299,user330@example.com,330,INV-00299,279,goodwill,approved,2024-07-19
RF-00300,user331@example.com,331,INV-00300,290,defect,rejected,2024-07-20
RF-00301,user332@example.com,332,INV-00301,301,duplicate,pending,2024-07-21
RF-00302,alan@example.com,333,INV-00302,312,fraud,approved,2024-07-22
RF-00303,user334@example.com,334,INV-00303,323,goodwill,rejected,2024-07-23
RF-00304,user335@example.com,335,INV-00304,334,defect,pending,2024-07-24
RF-00305,user336@example.com,336,INV-00305,345,duplicate,approved,2024-07-25
RF-00306,user337@example.com,337,INV-00306,356,fraud,rejected,2024-07-26
RF-00307,user338@example.com,338,INV-00307,367,goodwill,pending,2024-07-27
RF-00308,user339@example.com,339,INV-00308,378,defect,approved,2024-07-28
RF-00309,user340@example.com,340,INV-00309,389,duplicate,rejected,2024-07-01
RF-00310,user341@example.com,341,INV-00310,400,fraud,pending,2024-07-02
RF-00311,user342@example.com,342,INV-00311,411,goodwill,approved,2024-07-03
RF-00312,user343@example.com,343,INV-00312,422,defect,rejected,2024-07-04
RF-00313,user344@example.com,344,INV-00313,433,duplicate,pending,2024-07-05
RF-00314,user345@example.com,345,INV-00314,444,fraud,approved,2024-07-06
RF-00315,user346@example.com,346,INV-00315,455,goodwill,rejected,2024-07-07
RF-00316,user347@example.com,347,INV-00316,466,defect,pending,2024-07-08
RF-00317,user348@example.com,348,INV-00317,477,duplicate,approved,2024-07-09
RF-00318,user349@example.com,349,INV-00318,488,fraud,rejected,2024-07-10
RF-00319,user350@example.com,350,INV-00319,499,goodwill,pending,2024-07-11
RF-00320,user351@example.com,351,INV-00320,10,defect,approved,2024-07-12
RF-00321,user352@example.com,352,INV-00321,21,duplicate,rejected,2024-07-13
RF-00322,user353@example.com,353,INV-00322,32,fraud,pending,2024-07-14
RF-00323,user354@example.com,354,INV-00323,43,goodwill,approved,2024-07-15
RF-00324,user355@example.com,355,INV-00324,54,defect,rejected,2024-07-16
RF-00325,user356@example.com,356,INV-00325,65,duplicate,pending,2024-07-17
RF-00326,grace@example.com,357,INV-00326,76,fraud,approved,2024-07-18
RF-00327,user358@example.com,358,INV-00327,87,goodwill,rejected,2024-07-19
RF-00328,user359@example.com,359,INV-00328,98,defect,pending,2024-07-20
RF-00329,user360@example.com,360,INV-00329,109,duplicate,approved,2024-07-21
RF-00330,user361@example.com,361,INV-00330,120,fraud,rejected,2024-07-22
RF-00331,user362@example.com,362,INV-00331,131,goodwill,pending,2024-07-23
RF-00332,user363@example.com,363,INV-00332,142,defect,approved,2024-07-24
RF-00333,user364@example.com,364,INV-00333,153,duplicate,rejected,2024-07-25
RF-00334,user365@example.com,365,INV-00334,164,fraud,pending,2024-07-26
RF-00335,user366@example.com,366,INV-00335,175,goodwill,approved,2024-07-27
RF-00336,user367@example.com,367,INV-00336,186,defect,rejected,2024-07-28
RF-00337,user368@example.com,368,INV-00337,197,duplicate,pending,2024-07-01
RF-00338,user369@example.com,369,INV-00338,208,fraud,approved,2024-07-02
RF-00339,user370@example.com,370,INV-00339,219,goodwill,rejected,2024-07-03
RF-00340,user371@example.com,371,INV-00340,230,defect,pending,2024-07-04
RF-00341,user372@example.com,372,INV-00341,241,duplicate,approved,2024-07-05
RF-00342,user373@example.com,373,INV-00342,252,fraud,rejected,2024-07-06
RF-00343,user374@example.com,374,INV-00343,263,goodwill,pending,2024-07-07
RF-00344,user375@example.com,375,INV-00344,274,defect,approved,2024-07-08
RF-00345,user376@example.com,376,INV-00345,285,duplicate,rejected,2024-07-09
RF-00346,user377@example.com,377,INV-00346,296,fraud,pending,2024-07-10
RF-00347,user378@example.com,378,INV-00347,307,goodwill,approved,2024-07-11
RF-00348,user379@example.com,379,INV-00348,318,defect,rejected,2024-07-12
RF-00349,user380@example.com,380,INV-00349,329,duplicate,pending,2024-07-13
RF-00350,user381@example.com,381,INV-00350,340,fraud,approved,2024-07-14
RF-00351,user382@example.com,382,INV-00351,351,goodwill,rejected,2024-07-15
RF-00352,user383@example.com,383,INV-00352,362,defect,pending,2024-07-16
RF-00353,user384@example.com,384,INV-00353,373,duplicate,approved,2024-07-17
RF-00354,user385@example.com,385,INV-00354,384,fraud,rejected,2024-07-18
RF-00355,user386@example.com,386,INV-00355,395,goodwill,pending,2024-07-19
RF-00356,user387@example.com,387,INV-00356,406,defect,approved,2024-07-20
RF-00357,user388@example.com,388,INV-00357,417,duplicate,rejected,2024-07-21
RF-00358,ada@example.com,389,INV-00358,428,fraud,pending,2024-07-22
RF-00359,user390@example.com,390,INV-00359,439,goodwill,approved,2024-07-23
RF-00360,user391@example.com,391,INV-00360,450,defect,rejected,2024-07-24
RF-00361,user392@example.com,392,INV-00361,461,duplicate,pending,2024-07-25
RF-00362,user393@example.com,393,INV-00362,472,fraud,approved,2024-07-26
RF-00363,user394@example.com,394,INV-00363,483,goodwill,rejected,2024-07-27
RF-00364,user395@example.com,395,INV-00364,494,defect,pending,2024-07-28
RF-00365,user396@example.com,396,INV-00365,5,duplicate,approved,2024-07-01
RF-00366,user397@example.com,397,INV-00366,16,fraud,rejected,2024-07-02
RF-00367,user398@example.com,398,INV-00367,27,goodwill,pending,2024-07-03
RF-00368,user399@example.com,399,INV-00368,38,defect,approved,2024-07-04
RF-00369,user400@example.com,400,INV-00369,49,duplicate,rejected,2024-07-05
RF-00370,user401@example.com,401,INV-00370,60,fraud,pending,2024-07-06
