lead_id,email,campaign_id,status,score,created_at
L-0088,user99@example.com,cmp-0262,lost,31,2024-03-04
L-0089,user100@example.com,cmp-0265,open,44,2024-03-05
L-0090,user101@example.com,cmp-0268,qualified,57,2024-03-06
L-0091,user102@example.com,cmp-0271,won,70,2024-03-07
L-0092,user103@example.com,cmp-0274,lost,83,2024-03-08
L-0093,user104@example.com,cmp-0277,open,96,2024-03-09
L-0094,user105@example.com,cmp-0280,qualified,9,2024-03-10
L-0095,user106@example.com,cmp-0283,won,22,2024-03-11
L-0096,user107@example.com,cmp-0286,lost,35,2024-03-12
L-0097,user108@example.com,cmp-0289,open,48,2024-03-13
L-0098,user109@example.com,cmp-0292,qualified,61,2024-03-14
L-0099,user110@example.com,cmp-0295,won,74,2024-03-15
L-0100,user111@example.com,cmp-0298,lost,87,2024-03-16
L-0101,user112@example.com,cmp-0301,open,0,2024-03-17
L-0102,user113@example.com,cmp-0304,qualified,13,2024-03-18
L-0103,user114@example.com,cmp-0307,won,26,2024-03-19
L-0104,user115@example.com,cmp-0310,lost,39,2024-03-20
L-0105,user116@example.com,cmp-0313,open,52,2024-03-21
L-0106,user117@example.com,cmp-0316,qualified,65,2024-03-22
L-0107,user118@example.com,cmp-0319,won,78,2024-03-23
L-0108,user119@example.com,cmp-0322,lost,91,2024-03-24
L-0109,user120@example.com,cmp-0325,open,4,2024-03-25
L-0110,user121@example.com,cmp-0328,qualified,17,2024-03-26
L-0111,user122@example.com,cmp-0331,won,30,2024-03-27
L-0112,user123@example.com,cmp-0334,lost,43,2024-03-28
L-0113,user124@example.com,cmp-0337,open,56,2024-03-01
L-0114,user125@example.com,cmp-0340,qualified,69,2024-03-02
L-0115,user126@example.com,cmp-0343,won,82,2024-03-03
L-0116,user127@example.com,cmp-0346,lost,95,2024-03-04
L-0117,user128@example.com,cmp-0349,open,8,2024-03-05
L-0118,user129@example.com,cmp-0352,qualified,21,2024-03-06
L-0119,user130@example.com,cmp-0355,won,34,2024-03-07
L-0120,user131@example.com,cmp-0358,lost,47,2024-03-08
L-0121,user132@example.com,cmp-0361,open,60,2024-03-09
L-0122,user133@example.com,cmp-0364,qualified,73,2024-03-10
L-0123,user134@example.com,cmp-0367,won,86,2024-03-11
L-0124,user135@example.com,cmp-0370,lost,99,2024-03-12
L-0125,user136@example.com,cmp-0373,open,12,2024-03-13
L-0126,user137@example.com,cmp-0376,qualified,25,2024-03-14
L-0127,user138@example.com,cmp-0379,won,38,2024-03-15
L-0128,user139@example.com,cmp-0382,lost,51,2024-03-16
L-0129,user140@example.com,cmp-0385,open,64,2024-03-17
L-0130,user141@example.com,cmp-0388,qualified,77,2024-03-18
L-0131,user142@example.com,cmp-0391,won,90,2024-03-19
L-0132,user143@example.com,cmp-0394,lost,3,2024-03-20
L-0133,user144@example.com,cmp-0397,open,16,2024-03-21
L-0134,user145@example.com,cmp-0400,qualified,29,2024-03-22
L-0135,user146@example.com,cmp-0403,won,42,2024-03-23
L-0136,user147@example.com,cmp-0406,lost,55,2024-03-24
L-0137,user148@example.com,cmp-0409,open,68,2024-03-25
L-0138,user149@example.com,cmp-0412,qualified,81,2024-03-26
L-0139,user150@example.com,cmp-0415,won,94,2024-03-27
L-0140,user151@example.com,cmp-0418,lost,7,2024-03-28
L-0141,user152@example.com,cmp-0421,open,20,2024-03-01
L-0142,user153@example.com,cmp-0424,qualified,33,2024-03-02
L-0143,user154@example.com,cmp-0427,won,46,2024-03-03
L-0144,user155@example.com,cmp-0430,lost,59,2024-03-04
L-0145,user156@example.com,cmp-0433,open,72,2024-03-05
L-0146,user157@example.com,cmp-0436,qualified,85,2024-03-06
L-0147,user158@example.com,cmp-0439,won,98,2024-03-07
L-0148,user159@example.com,cmp-0442,lost,11,2024-03-08
L-0149,user160@example.com,cmp-0445,open,24,2024-03-09
L-0150,user161@example.com,cmp-0448,qualified,37,2024-03-10
L-0151,user162@example.com,cmp-0451,won,50,2024-03-11
L-0152,user163@example.com,cmp-0454,lost,63,2024-03-12
L-0153,user164@example.com,cmp-0457,open,76,2024-03-13
L-0154,user165@example.com,cmp-0460,qualified,89,2024-03-14
L-0155,user166@example.com,cmp-0463,won,2,2024-03-15
L-0156,alan@example.com,cmp-0466,lost,15,2024-03-16
L-0157,user168@example.com,cmp-0469,open,28,2024-03-17
L-0158,user169@example.com,cmp-0472,qualified,41,2024-03-18
L-0159,user170@example.com,cmp-0475,won,54,2024-03-19
L-0160,user171@example.com,cmp-0478,lost,67,2024-03-20
L-0161,user172@example.com,cmp-0481,open,80,2024-03-21
L-0162,user173@example.com,cmp-0484,qualified,93,2024-03-22
L-0163,user174@example.com,cmp-0487,won,6,2024-03-23
L-0164,user175@example.com,cmp-0490,lost,19,2024-03-24
L-0165,user176@example.com,cmp-0493,open,32,2024-03-25
L-0166,user177@example.com,cmp-0496,qualified,45,2024-03-26
L-0167,user178@example.com,cmp-0499,won,58,2024-03-27
L-0168,grace@example.com,cmp-0502,lost,71,2024-03-28
L-0169,user180@example.com,cmp-0505,open,84,2024-03-01
L-0170,user181@example.com,cmp-0508,qualified,97,2024-03-02
L-0171,user182@example.com,cmp-0511,won,10,2024-03-03
L-0172,user183@example.com,cmp-0514,lost,23,2024-03-04
L-0173,user184@example.com,cmp-0517,open,36,2024-03-05
L-0174,user185@example.com,cmp-0520,qualified,49,2024-03-06
L-0175,user186@example.com,cmp-0523,won,62,2024-03-07
L-0176,user187@example.com,cmp-0526,lost,75,2024-03-08
L-0177,user188@example.com,cmp-0529,open,88,2024-03-09
L-0178,user189@example.com,cmp-0532,qualified,1,2024-03-10
L-0179,user190@example.com,cmp-0535,won,14,2024-03-11
L-0180,user191@example.com,cmp-0538,lost,27,2024-03-12
L-0181,user192@example.com,cmp-0541,open,40,2024-03-13
L-0182,user193@example.com,cmp-0544,qualified,53,2024-03-14
L-0183,user194@example.com,cmp-0547,won,66,2024-03-15
L-0184,ada@example.com,cmp-0550,lost,79,2024-03-16
L-0185,user196@example.com,cmp-0553,open,92,2024-03-17
L-0186,user197@example.com,cmp-0556,qualified,5,2024-03-18
L-0187,user198@example.com,cmp-0559,won,18,2024-03-19
L-0188,user199@example.com,cmp-0562,lost,31,2024-03-20
L-0189,user200@example.com,cmp-0565,open,44,2024-03-21
L-0190,user201@example.com,cmp-0568,qualified,57,2024-03-22
L-0191,user202@example.com,cmp-0571,won,70,2024-03-23
L-0192,user203@example.com,cmp-0574,lost,83,2024-03-24
L-0193,user204@example.com,cmp-0577,open,96,2024-03-25
L-0194,user205@example.com,cmp-0580,qualified,9,2024-03-26
L-0195,user206@example.com,cmp-0583,won,22,2024-03-27
L-0196,user207@example.com,cmp-0586,lost,35,2024-03-28
L-0197,user208@example.com,cmp-0589,open,48,2024-03-01
L-0198,user209@example.com,cmp-0592,qualified,61,2024-03-02
L-0199,user210@example.com,cmp-0595,won,74,2024-03-03
L-0200,user211@example.com,cmp-0598,lost,87,2024-03-04
L-0201,user212@example.com,cmp-0601,open,0,2024-03-05
L-0202,user213@example.com,cmp-0604,qualified,13,2024-03-06
L-0203,user214@example.com,cmp-0607,won,26,2024-03-07
L-0204,user215@example.com,cmp-0610,lost,39,2024-03-08
L-0205,user216@example.com,cmp-0613,open,52,2024-03-09
L-0206,user217@example.com,cmp-0616,qualified,65,2024-03-10
L-0207,user218@example.com,cmp-0619,won,78,2024-03-11
L-0208,user219@example.com,cmp-0622,lost,91,2024-03-12
L-0209,user220@example.com,cmp-0625,open,4,2024-03-13
L-0210,user221@example.com,cmp-0628,qualified,17,2024-03-14
L-0211,user222@example.com,cmp-0631,won,30,2024-03-15
L-0212,user223@example.com,cmp-0634,lost,43,2024-03-16
L-0213,user224@example.com,cmp-0637,open,56,2024-03-17
L-0214,user225@example.com,cmp-0640,qualified,69,2024-03-18
L-0215,user226@example.com,cmp-0643,won,82,2024-03-19
L-0216,user227@example.com,cmp-0646,lost,95,2024-03-20
L-0217,user228@example.com,cmp-0649,open,8,2024-03-21
L-0218,user229@example.com,cmp-0652,qualified,21,2024-03-22
L-0219,user230@example.com,cmp-0655,won,34,2024-03-23
L-0220,user231@example.com,cmp-0658,lost,47,2024-03-24
L-0221,user232@example.com,cmp-0661,open,60,2024-03-25
L-0222,user233@example.com,cmp-0664,qualified,73,2024-03-26
L-0223,user234@example.com,cmp-0667,won,86,2024-03-27
L-0224,user235@example.com,cmp-0670,lost,99,2024-03-28
L-0225,user236@example.com,cmp-0673,open,12,2024-03-01
L-0226,user237@example.com,cmp-0676,qualified,25,2024-03-02
L-0227,user238@example.com,cmp-0679,won,38,2024-03-03
L-0228,user239@example.com,cmp-0682,lost,51,2024-03-04
L-0229,user240@example.com,cmp-0685,open,64,2024-03-05
L-0230,user241@example.com,cmp-0688,qualified,77,2024-03-06
L-0231,user242@example.com,cmp-0691,won,90,2024-03-07
L-0232,user243@example.com,cmp-0694,lost,3,2024-03-08
L-0233,user244@example.com,cmp-0697,open,16,2024-03-09
L-0234,user245@example.com,cmp-0700,qualified,29,2024-03-10
L-0235,user246@example.com,cmp-0703,won,42,2024-03-11
L-0236,user247@example.com,cmp-0706,lost,55,2024-03-12
L-0237,user248@example.com,cmp-0709,open,68,2024-03-13
L-0238,user249@example.com,cmp-0712,qualified,81,2024-03-14
L-0239,alan@example.com,cmp-0715,won,94,2024-03-15
L-0240,user251@example.com,cmp-0718,lost,7,2024-03-16
L-0241,user252@example.com,cmp-0721,open,20,2024-03-17
L-0242,user253@example.com,cmp-0724,qualified,33,2024-03-18
L-0243,user254@example.com,cmp-0727,won,46,2024-03-19
L-0244,user255@example.com,cmp-0730,lost,59,2024-03-20
L-0245,user256@example.com,cmp-0733,open,72,2024-03-21
L-0246,user257@example.com,cmp-0736,qualified,85,2024-03-22
L-0247,user258@example.com,cmp-0739,won,98,2024-03-23
L-0248,user259@example.com,cmp-0742,lost,11,2024-03-24
L-0249,user260@example.com,cmp-0745,open,24,2024-03-25
L-0250,user261@example.com,cmp-0748,qualified,37,2024-03-26
L-0251,user262@example.com,cmp-0751,won,50,2024-03-27
L-0252,user263@example.com,cmp-0754,lost,63,2024-03-28
L-0253,user264@example.com,cmp-0757,open,76,2024-03-01
L-0254,user265@example.com,cmp-0760,qualified,89,2024-03-02
L-0255,user266@example.com,cmp-0763,won,2,2024-03-03
L-0256,user267@example.com,cmp-0766,lost,15,2024-03-04
L-0257,grace@example.com,cmp-0769,open,28,2024-03-05
L-0258,user269@example.com,cmp-0772,qualified,41,2024-03-06
L-0259,user270@example.com,cmp-0775,won,54,2024-03-07
L-0260,user271@example.com,cmp-0778,lost,67,2024-03-08
L-0261,user272@example.com,cmp-0781,open,80,2024-03-09
L-0262,user273@example.com,cmp-0784,qualified,93,2024-03-10
L-0263,user274@example.com,cmp-0787,won,6,2024-03-11
L-0264,user275@example.com,cmp-0790,lost,19,2024-03-12
L-0265,user276@example.com,cmp-0793,open,32,2024-03-13
L-0266,user277@example.com,cmp-0796,qualified,45,2024-03-14
L-0267,user278@example.com,cmp-0799,won,58,2024-03-15
L-0268,user279@example.com,cmp-0802,lost,71,2024-03-16
L-0269,user280@example.com,cmp-0805,open,84,2024-03-17
L-0270,user281@example.com,cmp-0808,qualified,97,2024-03-18
L-0271,user282@example.com,cmp-0811,won,10,2024-03-19
L-0272,user283@example.com,cmp-0814,lost,23,2024-03-20
L-0273,user284@example.com,cmp-0817,open,36,2024-03-21
L-0274,user285@example.com,cmp-0820,qualified,49,2024-03-22
L-0275,user286@example.com,cmp-0823,won,62,2024-03-23
L-0276,user287@example.com,cmp-0826,lost,75,2024-03-24
L-0277,user288@example.com,cmp-0829,open,88,2024-03-25
L-0278,user289@example.com,cmp-0832,qualified,1,2024-03-26
L-0279,user290@example.com,cmp-0835,won,14,2024-03-27
L-0280,user291@example.com,cmp-0838,lost,27,2024-03-28
L-0281,ada@example.com,cmp-0841,open,40,2024-03-01
L-0282,user293@example.com,cmp-0844,qualified,53,2024-03-02
L-0283,user294@example.com,cmp-0847,won,66,2024-03-03
L-0284,user295@example.com,cmp-0850,lost,79,2024-03-04
L-0285,user296@example.com,cmp-0853,open,92,2024-03-05
L-0286,user297@example.com,cmp-0856,qualified,5,2024-03-06
L-0287,user298@example.com,cmp-0859,won,18,2024-03-07
L-0288,user299@example.com,cmp-0862,lost,31,2024-03-08
L-0289,user300@example.com,cmp-0865,open,44,2024-03-09
L-0290,user301@example.com,cmp-0868,qualified,57,2024-03-10
L-0291,user302@example.com,cmp-0871,won,70,2024-03-11
L-0292,user303@example.com,cmp-0874,lost,83,2024-03-12
L-0293,user304@example.com,cmp-0877,open,96,2024-03-13
L-0294,user305@example.com,cmp-0880,qualified,9,2024-03-14
L-0295,user306@example.com,cmp-0883,won,22,2024-03-15
L-0296,user307@example.com,cmp-0886,lost,35,2024-03-16
L-0297,user308@example.com,cmp-0889,open,48,2024-03-17
L-0298,user309@example.com,cmp-0892,qualified,61,2024-03-18
L-0299,user310@example.com,cmp-0895,won,74,2024-03-19
L-0300,user311@example.com,cmp-0898,lost,87,2024-03-20
L-0301,user312@example.com,cmp-0901,open,0,2024-03-21
L-0302,user313@example.com,cmp-0904,qualified,13,2024-03-22
L-0303,user314@example.com,cmp-0907,won,26,2024-03-23
L-0304,user315@example.com,cmp-0910,lost,39,2024-03-24
L-0305,user316@example.com,cmp-0913,open,52,2024-03-25
L-0306,user317@example.com,cmp-0916,qualified,65,2024-03-26
L-0307,user318@example.com,cmp-0919,won,78,2024-03-27
L-0308,user319@example.com,cmp-0922,lost,91,2024-03-28
L-0309,user320@example.com,cmp-0925,open,4,2024-03-01
L-0310,user321@example.com,cmp-0928,qualified,17,2024-03-02
L-0311,user322@example.com,cmp-0931,won,30,2024-03-03
L-0312,user323@example.com,cmp-0934,lost,43,2024-03-04
L-0313,user324@example.com,cmp-0937,open,56,2024-03-05
L-0314,user325@example.com,cmp-0940,qualified,69,2024-03-06
L-0315,user326@example.com,cmp-0943,won,82,2024-03-07
L-0316,user327@example.com,cmp-0946,lost,95,2024-03-08
L-0317,user328@example.com,cmp-0949,open,8,2024-03-09
L-0318,user329@example.com,cmp-0952,qualified,21,2024-03-10
L-0319,user330@example.com,cmp-0955,won,34,2024-03-11
L-0320,user331@example.com,cmp-0958,lost,47,2024-03-12
L-0321,user332@example.com,cmp-0961,open,60,2024-03-13
L-0322,alan@example.com,cmp-0964,qualified,73,2024-03-14
L-0323,user334@example.com,cmp-0967,won,86,2024-03-15
L-0324,user335@example.com,cmp-0970,lost,99,2024-03-16
L-0325,user336@example.com,cmp-0973,open,12,2024-03-17
L-0326,user337@example.com,cmp-0976,qualified,25,2024-03-18
L-0327,user338@example.com,cmp-0979,won,38,2024-03-19
L-0328,user339@example.com,cmp-0982,lost,51,2024-03-20
L-0329,user340@example.com,cmp-0985,open,64,2024-03-21
L-0330,user341@example.com,cmp-0988,qualified,77,2024-03-22
L-0331,user342@example.com,cmp-0991,won,90,2024-03-23
L-0332,user343@example.com,cmp-0994,lost,3,2024-03-24
L-0333,user344@example.com,cmp-0997,open,16,2024-03-25
L-0334,user345@example.com,cmp-1000,qualified,29,2024-03-26
L-0335,user346@example.com,cmp-0003,won,42,2024-03-27
L-0336,user347@example.com,cmp-0006,lost,55,2024-03-28
L-0337,user348@example.com,cmp-0009,open,68,2024-03-01
L-0338,user349@example.com,cmp-0012,qualified,81,2024-03-02
L-0339,user350@example.com,cmp-0015,won,94,2024-03-03
L-0340,user351@example.com,cmp-0018,lost,7,2024-03-04
L-0341,user352@example.com,cmp-0021,open,20,2024-03-05
L-0342,user353@example.com,cmp-0024,qualified,33,2024-03-06
L-0343,user354@example.com,cmp-0027,won,46,2024-03-07
L-0344,user355@example.com,cmp-0030,lost,59,2024-03-08
L-0345,user356@example.com,cmp-0033,open,72,2024-03-09
L-0346,grace@example.com,cmp-0036,qualified,85,2024-03-10
L-0347,user358@example.com,cmp-0039,won,98,2024-03-11
L-0348,user359@example.com,cmp-0042,lost,11,2024-03-12
L-0349,user360@example.com,cmp-0045,open,24,2024-03-13
L-0350,user361@example.com,cmp-0048,qualified,37,2024-03-14
L-0351,user362@example.com,cmp-0051,won,50,2024-03-15
L-0352,user363@example.com,cmp-0054,lost,63,2024-03-16
L-0353,user364@example.com,cmp-0057,open,76,2024-03-17
L-0354,user365@example.com,cmp-0060,qualified,89,2024-03-18
L-0355,user366@example.com,cmp-0063,won,2,2024-03-19
L-0356,user367@example.com,cmp-0066,lost,15,2024-03-20
L-0357,user368@example.com,cmp-0069,open,28,2024-03-21
L-0358,user369@example.com,cmp-0072,qualified,41,2024-03-22
L-0359,user370@example.com,cmp-0075,won,54,2024-03-23
L-0360,user371@example.com,cmp-0078,lost,67,2024-03-24
L-0361,user372@example.com,cmp-0081,open,80,2024-03-25
L-0362,user373@example.com,cmp-0084,qualified,93,2024-03-26
L-0363,user374@example.com,cmp-0087,won,6,2024-03-27
L-0364,user375@example.com,cmp-0090,lost,19,2024-03-28
L-0365,user376@example.com,cmp-0093,open,32,2024-03-01
L-0366,user377@example.com,cmp-0096,qualified,45,2024-03-02
L-0367,user378@example.com,cmp-0099,won,58,2024-03-03
L-0368,user379@example.com,cmp-0102,lost,71,2024-03-04
L-0369,user380@example.com,cmp-0105,open,84,2024-03-05
L-0370,user381@example.com,cmp-0108,qualified,97,2024-03-06
L-0371,user382@example.com,cmp-0111,won,10,2024-03-07
L-0372,user383@example.com,cmp-0114,lost,23,2024-03-08
L-0373,user384@example.com,cmp-0117,open,36,2024-03-09
L-0374,user385@example.com,cmp-0120,qualified,49,2024-03-10
L-0375,user386@example.com,cmp-0123,won,62,2024-03-11
L-0376,user387@example.com,cmp-0126,lost,75,2024-03-12
L-0377,user388@example.com,cmp-0129,open,88,2024-03-13
L-0378,ada@example.com,cmp-0132,qualified,1,2024-03-14
L-0379,user390@example.com,cmp-0135,won,14,2024-03-15
L-0380,user391@example.com,cmp-0138,lost,27,2024-03-16
L-0381,user392@example.com,cmp-0141,open,40,2024-03-17
L-0382,user393@example.com,cmp-0144,qualified,53,2024-03-18
L-0383,user394@example.com,cmp-0147,won,66,2024-03-19
L-0384,user395@example.com,cmp-0150,lost,79,2024-03-20
L-0385,user396@example.com,cmp-0153,open,92,2024-03-21
L-0386,user397@example.com,cmp-0156,qualified,5,2024-03-22
L-0387,user398@example.com,cmp-0159,won,18,2024-03-23
L-0388,user399@example.com,cmp-0162,lost,31,2024-03-24
L-0389,user400@example.com,cmp-0165,open,44,2024-03-25
L-0390,user401@example.com,cmp-0168,qualified,57,2024-03-26
L-0391,user402@example.com,cmp-0171,won,70,2024-03-27
L-0392,user403@example.com,cmp-0174,lost,83,2024-03-28
L-0393,user404@example.com,cmp-0177,open,96,2024-03-01
L-0394,user405@example.com,cmp-0180,qualified,9,2024-03-02
L-0395,user406@example.com,cmp-0183,won,22,2024-03-03
L-0396,user407@example.com,cmp-0186,lost,35,2024-03-04
L-0397,user408@example.com,cmp-0189,open,48,2024-03-05
L-0398,user409@example.com,cmp-0192,qualified,61,2024-03-06
L-0399,user410@example.com,cmp-0195,won,74,2024-03-07
L-0400,user411@example.com,cmp-0198,lost,87,2024-03-08
L-0401,user412@example.com,cmp-0201,open,0,2024-03-09
L-0402,user413@example.com,cmp-0204,qualified,13,2024-03-10
L-0403,user414@example.com,cmp-0207,won,26,2024-03-11
L-0404,user415@example.com,cmp-0210,lost,39,2024-03-12
L-0405,alan@example.com,cmp-0213,open,52,2024-03-13
L-0406,user417@example.com,cmp-0216,qualified,65,2024-03-14
L-0407,user418@example.com,cmp-0219,won,78,2024-03-15
L-0408,user419@example.com,cmp-0222,lost,91,2024-03-16
L-0409,user420@example.com,cmp-0225,open,4,2024-03-17
L-0410,user421@example.com,cmp-0228,qualified,17,2024-03-18
L-0411,user422@example.com,cmp-0231,won,30,2024-03-19
L-0412,user423@example.com,cmp-0234,lost,43,2024-03-20
L-0413,user424@example.com,cmp-0237,open,56,2024-03-21
L-0414,user425@example.com,cmp-0240,qualified,69,2024-03-22
L-0415,user426@example.com,cmp-0243,won,82,2024-03-23
L-0416,user427@example.com,cmp-0246,lost,95,2024-03-24
L-0417,user428@example.com,cmp-0249,open,8,2024-03-25
L-0418,user429@example.com,cmp-0252,qualified,21,2024-03-26
L-0419,user430@example.com,cmp-0255,won,34,2024-03-27
L-0420,user431@example.com,cmp-0258,lost,47,2024-03-28
L-0421,user432@example.com,cmp-0261,open,60,2024-03-01
L-0422,user433@example.com,cmp-0264,qualified,73,2024-03-02
L-0423,user434@example.com,cmp-0267,won,86,2024-03-03
L-0424,user435@example.com,cmp-0270,lost,99,2024-03-04
L-0425,user436@example.com,cmp-0273,open,12,2024-03-05
L-0426,user437@example.com,cmp-0276,qualified,25,2024-03-06
L-0427,user438@example.com,cmp-0279,won,38,2024-03-07
L-0428,user439@example.com,cmp-0282,lost,51,2024-03-08
L-0429,user440@example.com,cmp-0285,open,64,2024-03-09
L-0430,user441@example.com,cmp-0288,qualified,77,2024-03-10
L-0431,user442@example.com,cmp-0291,won,90,2024-03-11
L-0432,user443@example.com,cmp-0294,lost,3,2024-03-12
L-0433,user444@example.com,cmp-0297,open,16,2024-03-13
L-0434,user445@example.com,cmp-0300,qualified,29,2024-03-14
L-0435,grace@example.com,cmp-0303,won,42,2024-03-15
L-0436,user447@example.com,cmp-0306,lost,55,2024-03-16
L-0437,user448@example.com,cmp-0309,open,68,2024-03-17
L-0438,user449@example.com,cmp-0312,qualified,81,2024-03-18
L-0439,user450@example.com,cmp-0315,won,94,2024-03-19
L-0440,user451@example.com,cmp-0318,lost,7,2024-03-20
L-0441,user452@example.com,cmp-0321,open,20,2024-03-21
L-0442,user453@example.com,cmp-0324,qualified,33,2024-03-22
L-0443,user454@example.com,cmp-0327,won,46,2024-03-23
L-0444,user455@example.com,cmp-0330,lost,59,2024-03-24
L-0445,user456@example.com,cmp-0333,open,72,2024-03-25
L-0446,user457@example.com,cmp-0336,qualified,85,2024-03-26
L-0447,user458@example.com,cmp-0339,won,98,2024-03-27
L-0448,user459@example.com,cmp-0342,lost,11,2024-03-28
L-0449,user460@example.com,cmp-0345,open,24,2024-03-01
L-0450,user461@example.com,cmp-0348,qualified,37,2024-03-02
L-0451,user462@example.com,cmp-0351,won,50,2024-03-03
L-0452,user463@example.com,cmp-0354,lost,63,2024-03-04
L-0453,user464@example.com,cmp-0357,open,76,2024-03-05
