campaign_id,name,owner_email,budget,region_code,launched_at
cmp-0098,Campaign 98,ada@example.com,14289,EU,2024-02-15
cmp-0099,Campaign 99,user99@example.com,14426,APAC,2024-03-15
cmp-0100,Campaign 100,user100@example.com,14563,LATAM,2024-04-15
cmp-0101,Campaign 101,user101@example.com,14700,NA,2024-05-15
cmp-0102,Campaign 102,user102@example.com,14837,EU,2024-06-15
cmp-0103,Campaign 103,user103@example.com,14974,APAC,2024-07-15
cmp-0104,Campaign 104,user104@example.com,15111,LATAM,2024-08-15
cmp-0105,Campaign 105,user105@example.com,15248,NA,2024-09-15
cmp-0106,Campaign 106,user106@example.com,15385,EU,2024-10-15
cmp-0107,Campaign 107,user107@example.com,15522,APAC,2024-11-15
cmp-0108,Campaign 108,user108@example.com,15659,LATAM,2024-12-15
cmp-0109,Campaign 109,user109@example.com,15796,NA,2024-01-15
cmp-0110,Campaign 110,user110@example.com,15933,EU,2024-02-15
cmp-0111,Campaign 111,user111@example.com,16070,APAC,2024-03-15
cmp-0112,Campaign 112,user112@example.com,16207,LATAM,2024-04-15
cmp-0113,Campaign 113,user113@example.com,16344,NA,2024-05-15
cmp-0114,Campaign 114,user114@example.com,16481,EU,2024-06-15
cmp-0115,Campaign 115,user115@example.com,16618,APAC,2024-07-15
cmp-0116,Campaign 116,user116@example.com,16755,LATAM,2024-08-15
cmp-0117,Campaign 117,user117@example.com,16892,NA,2024-09-15
cmp-0118,Campaign 118,user118@example.com,17029,EU,2024-10-15
cmp-0119,Campaign 119,user119@example.com,17166,APAC,2024-11-15
cmp-0120,Campaign 120,user120@example.com,17303,LATAM,2024-12-15
cmp-0121,Campaign 121,user121@example.com,17440,NA,2024-01-15
cmp-0122,Campaign 122,user122@example.com,17577,EU,2024-02-15
cmp-0123,Campaign 123,user123@example.com,17714,APAC,2024-03-15
cmp-0124,Campaign 124,user124@example.com,17851,LATAM,2024-04-15
cmp-0125,Campaign 125,user125@example.com,17988,NA,2024-05-15
cmp-0126,Campaign 126,user126@example.com,18125,EU,2024-06-15
cmp-0127,Campaign 127,user127@example.com,18262,APAC,2024-07-15
cmp-0128,Campaign 128,user128@example.com,18399,LATAM,2024-08-15
cmp-0129,Campaign 129,user129@example.com,18536,NA,2024-09-15
cmp-0130,Campaign 130,user130@example.com,18673,EU,2024-10-15
cmp-0131,Campaign 131,user131@example.com,18810,APAC,2024-11-15
cmp-0132,Campaign 132,user132@example.com,18947,LATAM,2024-12-15
cmp-0133,Campaign 133,user133@example.com,19084,NA,2024-01-15
cmp-0134,Campaign 134,user134@example.com,19221,EU,2024-02-15
cmp-0135,Campaign 135,user135@example.com,19358,APAC,2024-03-15
cmp-0136,Campaign 136,user136@example.com,19495,LATAM,2024-04-15
cmp-0137,Campaign 137,user137@example.com,19632,NA,2024-05-15
cmp-0138,Campaign 138,user138@example.com,19769,EU,2024-06-15
cmp-0139,Campaign 139,user139@example.com,19906,APAC,2024-07-15
cmp-0140,Campaign 140,user140@example.com,20043,LATAM,2024-08-15
cmp-0141,Campaign 141,user141@example.com,20180,NA,2024-09-15
cmp-0142,Campaign 142,user142@example.com,20317,EU,2024-10-15
cmp-0143,Campaign 143,user143@example.com,20454,APAC,2024-11-15
cmp-0144,Campaign 144,user144@example.com,20591,LATAM,2024-12-15
cmp-0145,Campaign 145,user145@example.com,20728,NA,2024-01-15
cmp-0146,Campaign 146,user146@example.com,20865,EU,2024-02-15
cmp-0147,Campaign 147,user147@example.com,21002,APAC,2024-03-15
cmp-0148,Campaign 148,user148@example.com,21139,LATAM,2024-04-15
cmp-0149,Campaign 149,user149@example.com,21276,NA,2024-05-15
cmp-0150,Campaign 150,user150@example.com,21413,EU,2024-06-15
cmp-0151,Campaign 151,user151@example.com,21550,APAC,2024-07-15
cmp-0152,Campaign 152,user152@example.com,21687,LATAM,2024-08-15
cmp-0153,Campaign 153,user153@example.com,21824,NA,2024-09-15
cmp-0154,Campaign 154,user154@example.com,21961,EU,2024-10-15
cmp-0155,Campaign 155,user155@example.com,22098,APAC,2024-11-15
cmp-0156,Campaign 156,user156@example.com,22235,LATAM,2024-12-15
cmp-0157,Campaign 157,user157@example.com,22372,NA,2024-01-15
cmp-0158,Campaign 158,user158@example.com,22509,EU,2024-02-15
cmp-0159,Campaign 159,user159@example.com,22646,APAC,2024-03-15
cmp-0160,Campaign 160,user160@example.com,22783,LATAM,2024-04-15
cmp-0161,Campaign 161,user161@example.com,22920,NA,2024-05-15
cmp-0162,Campaign 162,user162@example.com,23057,EU,2024-06-15
cmp-0163,Campaign 163,user163@example.com,23194,APAC,2024-07-15
cmp-0164,Campaign 164,user164@example.com,23331,LATAM,2024-08-15
cmp-0165,Campaign 165,user165@example.com,23468,NA,2024-09-15
cmp-0166,Campaign 166,user166@example.com,23605,EU,2024-10-15
cmp-0167,Campaign 167,alan@example.com,23742,APAC,2024-11-15
cmp-0168,Campaign 168,user168@example.com,23879,LATAM,2024-12-15
cmp-0169,Campaign 169,user169@example.com,24016,NA,2024-01-15
cmp-0170,Campaign 170,user170@example.com,24153,EU,2024-02-15
cmp-0171,Campaign 171,user171@example.com,24290,APAC,2024-03-15
cmp-0172,Campaign 172,user172@example.com,24427,LATAM,2024-04-15
cmp-0173,Campaign 173,user173@example.com,24564,NA,2024-05-15
cmp-0174,Campaign 174,user174@example.com,24701,EU,2024-06-15
cmp-0175,Campaign 175,user175@example.com,24838,APAC,2024-07-15
cmp-0176,Campaign 176,user176@example.com,24975,LATAM,2024-08-15
cmp-0177,Campaign 177,user177@example.com,25112,NA,2024-09-15
cmp-0178,Campaign 178,user178@example.com,25249,EU,2024-10-15
cmp-0179,Campaign 179,grace@example.com,25386,APAC,2024-11-15
cmp-0180,Campaign 180,user180@example.com,25523,LATAM,2024-12-15
cmp-0181,Campaign 181,user181@example.com,25660,NA,2024-01-15
cmp-0182,Campaign 182,user182@example.com,25797,EU,2024-02-15
cmp-0183,Campaign 183,user183@example.com,25934,APAC,2024-03-15
cmp-0184,Campaign 184,user184@example.com,26071,LATAM,2024-04-15
cmp-0185,Campaign 185,user185@example.com,26208,NA,2024-05-15
cmp-0186,Campaign 186,user186@example.com,26345,EU,2024-06-15
cmp-0187,Campaign 187,user187@example.com,26482,APAC,2024-07-15
cmp-0188,Campaign 188,user188@example.com,26619,LATAM,2024-08-15
cmp-0189,Campaign 189,user189@example.com,26756,NA,2024-09-15
cmp-0190,Campaign 190,user190@example.com,26893,EU,2024-10-15
cmp-0191,Campaign 191,user191@example.com,27030,APAC,2024-11-15
cmp-0192,Campaign 192,user192@example.com,27167,LATAM,2024-12-15
cmp-0193,Campaign 193,user193@example.com,27304,NA,2024-01-15
cmp-0194,Campaign 194,user194@example.com,27441,EU,2024-02-15
cmp-0195,Campaign 195,ada@example.com,27578,APAC,2024-03-15
cmp-0196,Campaign 196,user196@example.com,27715,LATAM,2024-04-15
cmp-0197,Campaign 197,user197@example.com,27852,NA,2024-05-15
cmp-0198,Campaign 198,user198@example.com,27989,EU,2024-06-15
cmp-0199,Campaign 199,user199@example.com,28126,APAC,2024-07-15
cmp-0200,Campaign 200,user200@example.com,28263,LATAM,2024-08-15
cmp-0201,Campaign 201,user201@example.com,28400,NA,2024-09-15
cmp-0202,Campaign 202,user202@example.com,28537,EU,2024-10-15
cmp-0203,Campaign 203,user203@example.com,28674,APAC,2024-11-15
cmp-0204,Campaign 204,user204@example.com,28811,LATAM,2024-12-15
cmp-0205,Campaign 205,user205@example.com,28948,NA,2024-01-15
cmp-0206,Campaign 206,user206@example.com,29085,EU,2024-02-15
cmp-0207,Campaign 207,user207@example.com,29222,APAC,2024-03-15
cmp-0208,Campaign 208,user208@example.com,29359,LATAM,2024-04-15
cmp-0209,Campaign 209,user209@example.com,29496,NA,2024-05-15
cmp-0210,Campaign 210,user210@example.com,29633,EU,2024-06-15
cmp-0211,Campaign 211,user211@example.com,29770,APAC,2024-07-15
cmp-0212,Campaign 212,user212@example.com,29907,LATAM,2024-08-15
cmp-0213,Campaign 213,user213@example.com,30044,NA,2024-09-15
cmp-0214,Campaign 214,user214@example.com,30181,EU,2024-10-15
cmp-0215,Campaign 215,user215@example.com,30318,APAC,2024-11-15
cmp-0216,Campaign 216,user216@example.com,30455,LATAM,2024-12-15
cmp-0217,Campaign 217,user217@example.com,30592,NA,2024-01-15
cmp-0218,Campaign 218,user218@example.com,30729,EU,2024-02-15
cmp-0219,Campaign 219,user219@example.com,30866,APAC,2024-03-15
cmp-0220,Campaign 220,user220@example.com,31003,LATAM,2024-04-15
cmp-0221,Campaign 221,user221@example.com,31140,NA,2024-05-15
cmp-0222,Campaign 222,user222@example.com,31277,EU,2024-06-15
cmp-0223,Campaign 223,user223@example.com,31414,APAC,2024-07-15
cmp-0224,Campaign 224,user224@example.com,31551,LATAM,2024-08-15
cmp-0225,Campaign 225,user225@example.com,31688,NA,2024-09-15
cmp-0226,Campaign 226,user226@example.com,31825,EU,2024-10-15
cmp-0227,Campaign 227,user227@example.com,31962,APAC,2024-11-15
cmp-0228,Campaign 228,user228@example.com,32099,LATAM,2024-12-15
cmp-0229,Campaign 229,user229@example.com,32236,NA,2024-01-15
cmp-0230,Campaign 230,user230@example.com,32373,EU,2024-02-15
cmp-0231,Campaign 231,user231@example.com,32510,APAC,2024-03-15
cmp-0232,Campaign 232,user232@example.com,32647,LATAM,2024-04-15
cmp-0233,Campaign 233,user233@example.com,32784,NA,2024-05-15
cmp-0234,Campaign 234,user234@example.com,32921,EU,2024-06-15
cmp-0235,Campaign 235,user235@example.com,33058,APAC,2024-07-15
cmp-0236,Campaign 236,user236@example.com,33195,LATAM,2024-08-15
cmp-0237,Campaign 237,user237@example.com,33332,NA,2024-09-15
cmp-0238,Campaign 238,user238@example.com,33469,EU,2024-10-15
cmp-0239,Campaign 239,user239@example.com,33606,APAC,2024-11-15
cmp-0240,Campaign 240,user240@example.com,33743,LATAM,2024-12-15
cmp-0241,Campaign 241,user241@example.com,33880,NA,2024-01-15
cmp-0242,Campaign 242,user242@example.com,34017,EU,2024-02-15
cmp-0243,Campaign 243,user243@example.com,34154,APAC,2024-03-15
cmp-0244,Campaign 244,user244@example.com,34291,LATAM,2024-04-15
cmp-0245,Campaign 245,user245@example.com,34428,NA,2024-05-15
cmp-0246,Campaign 246,user246@example.com,34565,EU,2024-06-15
cmp-0247,Campaign 247,user247@example.com,34702,APAC,2024-07-15
cmp-0248,Campaign 248,user248@example.com,34839,LATAM,2024-08-15
cmp-0249,Campaign 249,user249@example.com,34976,NA,2024-09-15
cmp-0250,Campaign 250,alan@example.com,35113,EU,2024-10-15
cmp-0251,Campaign 251,user251@example.com,35250,APAC,2024-11-15
cmp-0252,Campaign 252,user252@example.com,35387,LATAM,2024-12-15
cmp-0253,Campaign 253,user253@example.com,35524,NA,2024-01-15
cmp-0254,Campaign 254,user254@example.com,35661,EU,2024-02-15
cmp-0255,Campaign 255,user255@example.com,35798,APAC,2024-03-15
cmp-0256,Campaign 256,user256@example.com,35935,LATAM,2024-04-15
cmp-0257,Campaign 257,user257@example.com,36072,NA,2024-05-15
cmp-0258,Campaign 258,user258@example.com,36209,EU,2024-06-15
cmp-0259,Campaign 259,user259@example.com,36346,APAC,2024-07-15
cmp-0260,Campaign 260,user260@example.com,36483,LATAM,2024-08-15
cmp-0261,Campaign 261,user261@example.com,36620,NA,2024-09-15
cmp-0262,Campaign 262,user262@example.com,36757,EU,2024-10-15
cmp-0263,Campaign 263,user263@example.com,36894,APAC,2024-11-15
cmp-0264,Campaign 264,user264@example.com,37031,LATAM,2024-12-15
cmp-0265,Campaign 265,user265@example.com,37168,NA,2024-01-15
cmp-0266,Campaign 266,user266@example.com,37305,EU,2024-02-15
cmp-0267,Campaign 267,user267@example.com,37442,APAC,2024-03-15
cmp-0268,Campaign 268,grace@example.com,37579,LATAM,2024-04-15
cmp-0269,Campaign 269,user269@example.com,37716,NA,2024-05-15
cmp-0270,Campaign 270,user270@example.com,37853,EU,2024-06-15
cmp-0271,Campaign 271,user271@example.com,37990,APAC,2024-07-15
cmp-0272,Campaign 272,user272@example.com,38127,LATAM,2024-08-15
cmp-0273,Campaign 273,user273@example.com,38264,NA,2024-09-15
cmp-0274,Campaign 274,user274@example.com,38401,EU,2024-10-15
cmp-0275,Campaign 275,user275@example.com,38538,APAC,2024-11-15
cmp-0276,Campaign 276,user276@example.com,38675,LATAM,2024-12-15
cmp-0277,Campaign 277,user277@example.com,38812,NA,2024-01-15
cmp-0278,Campaign 278,user278@example.com,38949,EU,2024-02-15
cmp-0279,Campaign 279,user279@example.com,39086,APAC,2024-03-15
cmp-0280,Campaign 280,user280@example.com,39223,LATAM,2024-04-15
cmp-0281,Campaign 281,user281@example.com,39360,NA,2024-05-15
cmp-0282,Campaign 282,user282@example.com,39497,EU,2024-06-15
cmp-0283,Campaign 283,user283@example.com,39634,APAC,2024-07-15
cmp-0284,Campaign 284,user284@example.com,39771,LATAM,2024-08-15
cmp-0285,Campaign 285,user285@example.com,39908,NA,2024-09-15
cmp-0286,Campaign 286,user286@example.com,40045,EU,2024-10-15
cmp-0287,Campaign 287,user287@example.com,40182,APAC,2024-11-15
cmp-0288,Campaign 288,user288@example.com,40319,LATAM,2024-12-15
cmp-0289,Campaign 289,user289@example.com,40456,NA,2024-01-15
cmp-0290,Campaign 290,user290@example.com,40593,EU,2024-02-15
cmp-0291,Campaign 291,user291@example.com,40730,APAC,2024-03-15
cmp-0292,Campaign 292,ada@example.com,40867,LATAM,2024-04-15
cmp-0293,Campaign 293,user293@example.com,41004,NA,2024-05-15
cmp-0294,Campaign 294,user294@example.com,41141,EU,2024-06-15
cmp-0295,Campaign 295,user295@example.com,41278,APAC,2024-07-15
cmp-0296,Campaign 296,user296@example.com,41415,LATAM,2024-08-15
cmp-0297,Campaign 297,user297@example.com,41552,NA,2024-09-15
cmp-0298,Campaign 298,user298@example.com,41689,EU,2024-10-15
cmp-0299,Campaign 299,user299@example.com,41826,APAC,2024-11-15
cmp-0300,Campaign 300,user300@example.com,41963,LATAM,2024-12-15
cmp-0301,Campaign 301,user301@example.com,42100,NA,2024-01-15
cmp-0302,Campaign 302,user302@example.com,42237,EU,2024-02-15
cmp-0303,Campaign 303,user303@example.com,42374,APAC,2024-03-15
cmp-0304,Campaign 304,user304@example.com,42511,LATAM,2024-04-15
cmp-0305,Campaign 305,user305@example.com,42648,NA,2024-05-15
cmp-0306,Campaign 306,user306@example.com,42785,EU,2024-06-15
cmp-0307,Campaign 307,user307@example.com,42922,APAC,2024-07-15
cmp-0308,Campaign 308,user308@example.com,43059,LATAM,2024-08-15
cmp-0309,Campaign 309,user309@example.com,43196,NA,2024-09-15
cmp-0310,Campaign 310,user310@example.com,43333,EU,2024-10-15
cmp-0311,Campaign 311,user311@example.com,43470,APAC,2024-11-15
cmp-0312,Campaign 312,user312@example.com,43607,LATAM,2024-12-15
cmp-0313,Campaign 313,user313@example.com,43744,NA,2024-01-15
cmp-0314,Campaign 314,user314@example.com,43881,EU,2024-02-15
cmp-0315,Campaign 315,user315@example.com,44018,APAC,2024-03-15
cmp-0316,Campaign 316,user316@example.com,44155,LATAM,2024-04-15
cmp-0317,Campaign 317,user317@example.com,44292,NA,2024-05-15
cmp-0318,Campaign 318,user318@example.com,44429,EU,2024-06-15
cmp-0319,Campaign 319,user319@example.com,44566,APAC,2024-07-15
cmp-0320,Campaign 320,user320@example.com,44703,LATAM,2024-08-15
cmp-0321,Campaign 321,user321@example.com,44840,NA,2024-09-15
cmp-0322,Campaign 322,user322@example.com,44977,EU,2024-10-15
cmp-0323,Campaign 323,user323@example.com,45114,APAC,2024-11-15
cmp-0324,Campaign 324,user324@example.com,45251,LATAM,2024-12-15
cmp-0325,Campaign 325,user325@example.com,45388,NA,2024-01-15
cmp-0326,Campaign 326,user326@example.com,45525,EU,2024-02-15
cmp-0327,Campaign 327,user327@example.com,45662,APAC,2024-03-15
cmp-0328,Campaign 328,user328@example.com,45799,LATAM,2024-04-15
cmp-0329,Campaign 329,user329@example.com,45936,NA,2024-05-15
cmp-0330,Campaign 330,user330@example.com,46073,EU,2024-06-15
cmp-0331,Campaign 331,user331@example.com,46210,APAC,2024-07-15
cmp-0332,Campaign 332,user332@example.com,46347,LATAM,2024-08-15
cmp-0333,Campaign 333,alan@example.com,46484,NA,2024-09-15
cmp-0334,Campaign 334,user334@example.com,46621,EU,2024-10-15
cmp-0335,Campaign 335,user335@example.com,46758,APAC,2024-11-15
cmp-0336,Campaign 336,user336@example.com,46895,LATAM,2024-12-15
cmp-0337,Campaign 337,user337@example.com,47032,NA,2024-01-15
cmp-0338,Campaign 338,user338@example.com,47169,EU,2024-02-15
cmp-0339,Campaign 339,user339@example.com,47306,APAC,2024-03-15
cmp-0340,Campaign 340,user340@example.com,47443,LATAM,2024-04-15
cmp-0341,Campaign 341,user341@example.com,47580,NA,2024-05-15
cmp-0342,Campaign 342,user342@example.com,47717,EU,2024-06-15
cmp-0343,Campaign 343,user343@example.com,47854,APAC,2024-07-15
cmp-0344,Campaign 344,user344@example.com,47991,LATAM,2024-08-15
cmp-0345,Campaign 345,user345@example.com,48128,NA,2024-09-15
cmp-0346,Campaign 346,user346@example.com,48265,EU,2024-10-15
cmp-0347,Campaign 347,user347@example.com,48402,APAC,2024-11-15
cmp-0348,Campaign 348,user348@example.com,48539,LATAM,2024-12-15
cmp-0349,Campaign 349,user349@example.com,48676,NA,2024-01-15
cmp-0350,Campaign 350,user350@example.com,48813,EU,2024-02-15
cmp-0351,Campaign 351,user351@example.com,48950,APAC,2024-03-15
cmp-0352,Campaign 352,user352@example.com,49087,LATAM,2024-04-15
cmp-0353,Campaign 353,user353@example.com,49224,NA,2024-05-15
cmp-0354,Campaign 354,user354@example.com,49361,EU,2024-06-15
cmp-0355,Campaign 355,user355@example.com,49498,APAC,2024-07-15
cmp-0356,Campaign 356,user356@example.com,49635,LATAM,2024-08-15
cmp-0357,Campaign 357,grace@example.com,49772,NA,2024-09-15
cmp-0358,Campaign 358,user358@example.com,49909,EU,2024-10-15
cmp-0359,Campaign 359,user359@example.com,1046,APAC,2024-11-15
cmp-0360,Campaign 360,user360@example.com,1183,LATAM,2024-12-15
cmp-0361,Campaign 361,user361@example.com,1320,NA,2024-01-15
cmp-0362,Campaign 362,user362@example.com,1457,EU,2024-02-15
cmp-0363,Campaign 363,user363@example.com,1594,APAC,2024-03-15
cmp-0364,Campaign 364,user364@example.com,1731,LATAM,2024-04-15
cmp-0365,Campaign 365,user365@example.com,1868,NA,2024-05-15
cmp-0366,Campaign 366,user366@example.com,2005,EU,2024-06-15
cmp-0367,Campaign 367,user367@example.com,2142,APAC,2024-07-15
cmp-0368,Campaign 368,user368@example.com,2279,LATAM,2024-08-15
cmp-0369,Campaign 369,user369@example.com,2416,NA,2024-09-15
cmp-0370,Campaign 370,user370@example.com,2553,EU,2024-10-15
cmp-0371,Campaign 371,user371@example.com,2690,APAC,2024-11-15
cmp-0372,Campaign 372,user372@example.com,2827,LATAM,2024-12-15
cmp-0373,Campaign 373,user373@example.com,2964,NA,2024-01-15
cmp-0374,Campaign 374,user374@example.com,3101,EU,2024-02-15
cmp-0375,Campaign 375,user375@example.com,3238,APAC,2024-03-15
cmp-0376,Campaign 376,user376@example.com,3375,LATAM,2024-04-15
cmp-0377,Campaign 377,user377@example.com,3512,NA,2024-05-15
cmp-0378,Campaign 378,user378@example.com,3649,EU,2024-06-15
cmp-0379,Campaign 379,user379@example.com,3786,APAC,2024-07-15
cmp-0380,Campaign 380,user380@example.com,3923,LATAM,2024-08-15
cmp-0381,Campaign 381,user381@example.com,4060,NA,2024-09-15
cmp-0382,Campaign 382,user382@example.com,4197,EU,2024-10-15
cmp-0383,Campaign 383,user383@example.com,4334,APAC,2024-11-15
cmp-0384,Campaign 384,user384@example.com,4471,LATAM,2024-12-15
cmp-0385,Campaign 385,user385@example.com,4608,NA,2024-01-15
cmp-0386,Campaign 386,user386@example.com,4745,EU,2024-02-15
cmp-0387,Campaign 387,user387@example.com,4882,APAC,2024-03-15
cmp-0388,Campaign 388,user388@example.com,5019,LATAM,2024-04-15
cmp-0389,Campaign 389,ada@example.com,5156,NA,2024-05-15
cmp-0390,Campaign 390,user390@example.com,5293,EU,2024-06-15
cmp-0391,Campaign 391,user391@example.com,5430,APAC,2024-07-15
cmp-0392,Campaign 392,user392@example.com,5567,LATAM,2024-08-15
cmp-0393,Campaign 393,user393@example.com,5704,NA,2024-09-15
cmp-0394,Campaign 394,user394@example.com,5841,EU,2024-10-15
cmp-0395,Campaign 395,user395@example.com,5978,APAC,2024-11-15
cmp-0396,Campaign 396,user396@example.com,6115,LATAM,2024-12-15
cmp-0397,Campaign 397,user397@example.com,6252,NA,2024-01-15
cmp-0398,Campaign 398,user398@example.com,6389,EU,2024-02-15
cmp-0399,Campaign 399,user399@example.com,6526,APAC,2024-03-15
cmp-0400,Campaign 400,user400@example.com,6663,LATAM,2024-04-15
cmp-0401,Campaign 401,user401@example.com,6800,NA,2024-05-15
