account_id,email,region_code,tier,customer_id,annual_spend
A-0208,user211@example.com,LATAM,free,208,3933
A-0209,user212@example.com,NA,pro,209,3952
A-0210,user213@example.com,EU,enterprise,210,3971
A-0211,user214@example.com,APAC,free,211,3990
A-0212,user215@example.com,LATAM,pro,212,4009
A-0213,user216@example.com,NA,enterprise,213,4028
A-0214,user217@example.com,EU,free,214,4047
A-0215,user218@example.com,APAC,pro,215,4066
A-0216,user219@example.com,LATAM,enterprise,216,4085
A-0217,user220@example.com,NA,free,217,4104
A-0218,user221@example.com,EU,pro,218,4123
A-0219,user222@example.com,APAC,enterprise,219,4142
A-0220,user223@example.com,LATAM,free,220,4161
A-0221,user224@example.com,NA,pro,221,4180
A-0222,user225@example.com,EU,enterprise,222,4199
A-0223,user226@example.com,APAC,free,223,4218
A-0224,user227@example.com,LATAM,pro,224,4237
A-0225,user228@example.com,NA,enterprise,225,4256
A-0226,user229@example.com,EU,free,226,4275
A-0227,user230@example.com,APAC,pro,227,4294
A-0228,user231@example.com,LATAM,enterprise,228,4313
A-0229,user232@example.com,NA,free,229,4332
A-0230,user233@example.com,EU,pro,230,4351
A-0231,user234@example.com,APAC,enterprise,231,4370
A-0232,user235@example.com,LATAM,free,232,4389
A-0233,user236@example.com,NA,pro,233,4408
A-0234,user237@example.com,EU,enterprise,234,4427
A-0235,user238@example.com,APAC,free,235,4446
A-0236,user239@example.com,LATAM,pro,236,4465
A-0237,user240@example.com,NA,enterprise,237,4484
A-0238,user241@example.com,EU,free,238,4503
A-0239,user242@example.com,APAC,pro,239,4522
A-0240,user243@example.com,LATAM,enterprise,240,4541
A-0241,user244@example.com,NA,free,241,4560
A-0242,user245@example.com,EU,pro,242,4579
A-0243,user246@example.com,APAC,enterprise,243,4598
A-0244,user247@example.com,LATAM,free,244,4617
A-0245,user248@example.com,NA,pro,245,4636
A-0246,user249@example.com,EU,enterprise,246,4655
A-0247,alan@example.com,APAC,free,247,4674
A-0248,user251@example.com,LATAM,pro,248,4693
A-0249,user252@example.com,NA,enterprise,249,4712
A-0250,user253@example.com,EU,free,250,4731
A-0251,user254@example.com,APAC,pro,251,4750
A-0252,user255@example.com,LATAM,enterprise,252,4769
A-0253,user256@example.com,NA,free,253,4788
A-0254,user257@example.com,EU,pro,254,4807
A-0255,user258@example.com,APAC,enterprise,255,4826
A-0256,user259@example.com,LATAM,free,256,4845
A-0257,user260@example.com,NA,pro,257,4864
A-0258,user261@example.com,EU,enterprise,258,4883
A-0259,user262@example.com,APAC,free,259,4902
A-0260,user263@example.com,LATAM,pro,260,4921
A-0261,user264@example.com,NA,enterprise,261,4940
A-0262,user265@example.com,EU,free,262,4959
A-0263,user266@example.com,APAC,pro,263,4978
A-0264,user267@example.com,LATAM,enterprise,264,4997
A-0265,grace@example.com,NA,free,265,5016
A-0266,user269@example.com,EU,pro,266,5035
A-0267,user270@example.com,APAC,enterprise,267,5054
A-0268,user271@example.com,LATAM,free,268,5073
A-0269,user272@example.com,NA,pro,269,5092
A-0270,user273@example.com,EU,enterprise,270,5111
A-0271,user274@example.com,APAC,free,271,5130
A-0272,user275@example.com,LATAM,pro,272,5149
A-0273,user276@example.com,NA,enterprise,273,5168
A-0274,user277@example.com,EU,free,274,5187
A-0275,user278@example.com,APAC,pro,275,5206
A-0276,user279@example.com,LATAM,enterprise,276,5225
A-0277,user280@example.com,NA,free,277,5244
A-0278,user281@example.com,EU,pro,278,5263
A-0279,user282@example.com,APAC,enterprise,279,5282
A-0280,user283@example.com,LATAM,free,280,5301
A-0281,user284@example.com,NA,pro,281,5320
A-0282,user285@example.com,EU,enterprise,282,5339
A-0283,user286@example.com,APAC,free,283,5358
A-0284,user287@example.com,LATAM,pro,284,5377
A-0285,user288@example.com,NA,enterprise,285,5396
A-0286,user289@example.com,EU,free,286,5415
A-0287,user290@example.com,APAC,pro,287,5434
A-0288,user291@example.com,LATAM,enterprise,288,5453
A-0289,ada@example.com,NA,free,289,5472
A-0290,user293@example.com,EU,pro,290,5491
A-0291,user294@example.com,APAC,enterprise,291,5510
A-0292,user295@example.com,LATAM,free,292,5529
A-0293,user296@example.com,NA,pro,293,5548
A-0294,user297@example.com,EU,enterprise,294,5567
A-0295,user298@example.com,APAC,free,295,5586
A-0296,user299@example.com,LATAM,pro,296,5605
A-0297,user300@example.com,NA,enterprise,297,5624
A-0298,user301@example.com,EU,free,298,5643
A-0299,user302@example.com,APAC,pro,299,5662
A-0300,user303@example.com,LATAM,enterprise,300,5681
A-0301,user304@example.com,NA,free,301,5700
A-0302,user305@example.com,EU,pro,302,5719
A-0303,user306@example.com,APAC,enterprise,303,5738
A-0304,user307@example.com,LATAM,free,304,5757
A-0305,user308@example.com,NA,pro,305,5776
A-0306,user309@example.com,EU,enterprise,306,5795
A-0307,user310@example.com,APAC,free,307,5814
A-0308,user311@example.com,LATAM,pro,308,5833
A-0309,user312@example.com,NA,enterprise,309,5852
A-0310,user313@example.com,EU,free,310,5871
A-0311,user314@example.com,APAC,pro,311,5890
A-0312,user315@example.com,LATAM,enterprise,312,5909
A-0313,user316@example.com,NA,free,313,5928
A-0314,user317@example.com,EU,pro,314,5947
A-0315,user318@example.com,APAC,enterprise,315,5966
A-0316,user319@example.com,LATAM,free,316,5985
A-0317,user320@example.com,NA,pro,317,6004
A-0318,user321@example.com,EU,enterprise,318,6023
A-0319,user322@example.com,APAC,free,319,6042
A-0320,user323@example.com,LATAM,pro,320,6061
A-0321,user324@example.com,NA,enterprise,321,6080
A-0322,user325@example.com,EU,free,322,6099
A-0323,user326@example.com,APAC,pro,323,6118
A-0324,user327@example.com,LATAM,enterprise,324,6137
A-0325,user328@example.com,NA,free,325,6156
A-0326,user329@example.com,EU,pro,326,6175
A-0327,user330@example.com,APAC,enterprise,327,6194
A-0328,user331@example.com,LATAM,free,328,6213
A-0329,user332@example.com,NA,pro,329,6232
A-0330,alan@example.com,EU,enterprise,330,6251
A-0331,user334@example.com,APAC,free,331,6270
A-0332,user335@example.com,LATAM,pro,332,6289
A-0333,user336@example.com,NA,enterprise,333,6308
A-0334,user337@example.com,EU,free,334,6327
A-0335,user338@example.com,APAC,pro,335,6346
A-0336,user339@example.com,LATAM,enterprise,336,6365
A-0337,user340@example.com,NA,free,337,6384
A-0338,user341@example.com,EU,pro,338,6403
A-0339,user342@example.com,APAC,enterprise,339,6422
A-0340,user343@example.com,LATAM,free,340,6441
A-0341,user344@example.com,NA,pro,341,6460
A-0342,user345@example.com,EU,enterprise,342,6479
A-0343,user346@example.com,APAC,free,343,6498
A-0344,user347@example.com,LATAM,pro,344,6517
A-0345,user348@example.com,NA,enterprise,345,6536
A-0346,user349@example.com,EU,free,346,6555
A-0347,user350@example.com,APAC,pro,347,6574
A-0348,user351@example.com,LATAM,enterprise,348,6593
A-0349,user352@example.com,NA,free,349,6612
A-0350,user353@example.com,EU,pro,350,6631
A-0351,user354@example.com,APAC,enterprise,351,6650
A-0352,user355@example.com,LATAM,free,352,6669
A-0353,user356@example.com,NA,pro,353,6688
A-0354,grace@example.com,EU,enterprise,354,6707
A-0355,user358@example.com,APAC,free,355,6726
A-0356,user359@example.com,LATAM,pro,356,6745
A-0357,user360@example.com,NA,enterprise,357,6764
A-0358,user361@example.com,EU,free,358,6783
A-0359,user362@example.com,APAC,pro,359,6802
A-0360,user363@example.com,LATAM,enterprise,360,6821
A-0361,user364@example.com,NA,free,361,6840
A-0362,user365@example.com,EU,pro,362,6859
A-0363,user366@example.com,APAC,enterprise,363,6878
A-0364,user367@example.com,LATAM,free,364,6897
A-0365,user368@example.com,NA,pro,365,6916
A-0366,user369@example.com,EU,enterprise,366,6935
A-0367,user370@example.com,APAC,free,367,6954
A-0368,user371@example.com,LATAM,pro,368,6973
A-0369,user372@example.com,NA,enterprise,369,6992
A-0370,user373@example.com,EU,free,370,7011
A-0371,user374@example.com,APAC,pro,371,7030
A-0372,user375@example.com,LATAM,enterprise,372,7049
A-0373,user376@example.com,NA,free,373,7068
A-0374,user377@example.com,EU,pro,374,7087
A-0375,user378@example.com,APAC,enterprise,375,7106
A-0376,user379@example.com,LATAM,free,376,7125
A-0377,user380@example.com,NA,pro,377,7144
A-0378,user381@example.com,EU,enterprise,378,7163
A-0379,user382@example.com,APAC,free,379,7182
A-0380,user383@example.com,LATAM,pro,380,7201
A-0381,user384@example.com,NA,enterprise,381,7220
A-0382,user385@example.com,EU,free,382,7239
A-0383,user386@example.com,APAC,pro,383,7258
A-0384,user387@example.com,LATAM,enterprise,384,7277
A-0385,user388@example.com,NA,free,385,7296
A-0386,ada@example.com,EU,pro,386,7315
A-0387,user390@example.com,APAC,enterprise,387,7334
A-0388,user391@example.com,LATAM,free,388,7353
A-0389,user392@example.com,NA,pro,389,7372
A-0390,user393@example.com,EU,enterprise,390,7391
A-0391,user394@example.com,APAC,free,391,7410
A-0392,user395@example.com,LATAM,pro,392,7429
A-0393,user396@example.com,NA,enterprise,393,7448
A-0394,user397@example.com,EU,free,394,7467
A-0395,user398@example.com,APAC,pro,395,7486
A-0396,user399@example.com,LATAM,enterprise,396,7505
A-0397,user400@example.com,NA,free,397,7524
A-0398,user401@example.com,EU,pro,398,7543
A-0399,user402@example.com,APAC,enterprise,399,7562
A-0400,user403@example.com,LATAM,free,400,7581
A-0401,user404@example.com,NA,pro,401,7600
A-0402,user405@example.com,EU,enterprise,402,7619
A-0403,user406@example.com,APAC,free,403,7638
A-0404,user407@example.com,LATAM,pro,404,7657
A-0405,user408@example.com,NA,enterprise,405,7676
A-0406,user409@example.com,EU,free,406,7695
A-0407,user410@example.com,APAC,pro,407,7714
A-0408,user411@example.com,LATAM,enterprise,408,7733
A-0409,user412@example.com,NA,free,409,7752
A-0410,user413@example.com,EU,pro,410,7771
A-0411,user414@example.com,APAC,enterprise,411,7790
A-0412,user415@example.com,LATAM,free,412,7809
A-0413,alan@example.com,NA,pro,413,7828
A-0414,user417@example.com,EU,enterprise,414,7847
A-0415,user418@example.com,APAC,free,415,7866
A-0416,user419@example.com,LATAM,pro,416,7885
A-0417,user420@example.com,NA,enterprise,417,7904
A-0418,user421@example.com,EU,free,418,7923
A-0419,user422@example.com,APAC,pro,419,7942
A-0420,user423@example.com,LATAM,enterprise,420,7961
A-0421,user424@example.com,NA,free,421,7980
A-0422,user425@example.com,EU,pro,422,7999
A-0423,user426@example.com,APAC,enterprise,423,8018
A-0424,user427@example.com,LATAM,free,424,8037
A-0425,user428@example.com,NA,pro,425,8056
A-0426,user429@example.com,EU,enterprise,426,8075
A-0427,user430@example.com,APAC,free,427,8094
A-0428,user431@example.com,LATAM,pro,428,8113
A-0429,user432@example.com,NA,enterprise,429,8132
A-0430,user433@example.com,EU,free,430,8151
A-0431,user434@example.com,APAC,pro,431,8170
A-0432,user435@example.com,LATAM,enterprise,432,8189
A-0433,user436@example.com,NA,free,433,8208
A-0434,user437@example.com,EU,pro,434,8227
A-0435,user438@example.com,APAC,enterprise,435,8246
A-0436,user439@example.com,LATAM,free,436,8265
A-0437,user440@example.com,NA,pro,437,8284
A-0438,user441@example.com,EU,enterprise,438,8303
A-0439,user442@example.com,APAC,free,439,8322
A-0440,user443@example.com,LATAM,pro,440,8341
A-0441,user444@example.com,NA,enterprise,441,8360
A-0442,user445@example.com,EU,free,442,8379
A-0443,grace@example.com,APAC,pro,443,8398
A-0444,user447@example.com,LATAM,enterprise,444,8417
A-0445,user448@example.com,NA,free,445,8436
A-0446,user449@example.com,EU,pro,446,8455
A-0447,user450@example.com,APAC,enterprise,447,8474
A-0448,user451@example.com,LATAM,free,448,8493
A-0449,user452@example.com,NA,pro,449,8512
A-0450,user453@example.com,EU,enterprise,450,8531
A-0451,user454@example.com,APAC,free,451,8550
A-0452,user455@example.com,LATAM,pro,452,8569
A-0453,user456@example.com,NA,enterprise,453,8588
A-0454,user457@example.com,EU,free,454,8607
A-0455,user458@example.com,APAC,pro,455,8626
A-0456,user459@example.com,LATAM,enterprise,456,8645
A-0457,user460@example.com,NA,free,457,8664
A-0458,user461@example.com,EU,pro,458,8683
A-0459,user462@example.com,APAC,enterprise,459,8702
A-0460,user463@example.com,LATAM,free,460,8721
A-0461,user464@example.com,NA,pro,461,8740
A-0462,user465@example.com,EU,enterprise,462,8759
A-0463,user466@example.com,APAC,free,463,8778
A-0464,user467@example.com,LATAM,pro,464,8797
A-0465,user468@example.com,NA,enterprise,465,8816
A-0466,user469@example.com,EU,free,466,8835
A-0467,user470@example.com,APAC,pro,467,8854
A-0468,user471@example.com,LATAM,enterprise,468,8873
A-0469,user472@example.com,NA,free,469,8892
A-0470,user473@example.com,EU,pro,470,8911
A-0471,user474@example.com,APAC,enterprise,471,8930
A-0472,user475@example.com,LATAM,free,472,8949
A-0473,user476@example.com,NA,pro,473,8968
A-0474,user477@example.com,EU,enterprise,474,8987
A-0475,user478@example.com,APAC,free,475,9006
A-0476,user479@example.com,LATAM,pro,476,9025
A-0477,user480@example.com,NA,enterprise,477,9044
A-0478,user481@example.com,EU,free,478,9063
A-0479,user482@example.com,APAC,pro,479,9082
A-0480,user483@example.com,LATAM,enterprise,480,9101
A-0481,user484@example.com,NA,free,481,9120
A-0482,user485@example.com,EU,pro,482,9139
A-0483,ada@example.com,APAC,enterprise,483,9158
A-0484,user487@example.com,LATAM,free,484,9177
A-0485,user488@example.com,NA,pro,485,9196
A-0486,user489@example.com,EU,enterprise,486,9215
A-0487,user490@example.com,APAC,free,487,9234
A-0488,user491@example.com,LATAM,pro,488,9253
A-0489,user492@example.com,NA,enterprise,489,9272
A-0490,user493@example.com,EU,free,490,9291
A-0491,user494@example.com,APAC,pro,491,9310
A-0492,user495@example.com,LATAM,enterprise,492,9329
A-0493,user496@example.com,NA,free,493,9348
A-0494,user497@example.com,EU,pro,494,9367
A-0495,user498@example.com,APAC,enterprise,495,9386
A-0496,alan@example.com,LATAM,free,496,9405
A-0497,user500@example.com,NA,pro,497,9424
A-0498,user501@example.com,EU,enterprise,498,9443
A-0499,user502@example.com,APAC,free,499,9462
A-0500,user503@example.com,LATAM,pro,500,9481
A-0501,user504@example.com,NA,enterprise,501,9500
A-0502,user505@example.com,EU,free,502,9519
A-0503,user506@example.com,APAC,pro,503,9538
A-0504,user507@example.com,LATAM,enterprise,504,9557
A-0505,user508@example.com,NA,free,505,9576
A-0506,user509@example.com,EU,pro,506,9595
A-0507,user510@example.com,APAC,enterprise,507,9614
A-0508,user511@example.com,LATAM,free,508,9633
A-0509,user512@example.com,NA,pro,509,9652
A-0510,user513@example.com,EU,enterprise,510,9671
A-0511,user514@example.com,APAC,free,511,9690
A-0512,user515@example.com,LATAM,pro,512,9709
A-0513,user516@example.com,NA,enterprise,513,9728
A-0514,user517@example.com,EU,free,514,9747
A-0515,user518@example.com,APAC,pro,515,9766
A-0516,user519@example.com,LATAM,enterprise,516,9785
A-0517,user520@example.com,NA,free,517,9804
A-0518,user521@example.com,EU,pro,518,9823
A-0519,user522@example.com,APAC,enterprise,519,9842
A-0520,user523@example.com,LATAM,free,520,9861
A-0521,user524@example.com,NA,pro,521,9880
A-0522,user525@example.com,EU,enterprise,522,9899
A-0523,user526@example.com,APAC,free,523,9918
A-0524,user527@example.com,LATAM,pro,524,9937
A-0525,user528@example.com,NA,enterprise,525,9956
A-0526,user529@example.com,EU,free,526,9975
A-0527,user530@example.com,APAC,pro,527,9994
A-0528,user531@example.com,LATAM,enterprise,528,10013
A-0529,user532@example.com,NA,free,529,10032
A-0530,user533@example.com,EU,pro,530,10051
A-0531,user534@example.com,APAC,enterprise,531,10070
A-0532,grace@example.com,LATAM,free,532,10089
A-0533,user536@example.com,NA,pro,533,10108
A-0534,user537@example.com,EU,enterprise,534,10127
A-0535,user538@example.com,APAC,free,535,10146
A-0536,user539@example.com,LATAM,pro,536,10165
A-0537,user540@example.com,NA,enterprise,537,10184
A-0538,user541@example.com,EU,free,538,10203
A-0539,user542@example.com,APAC,pro,539,10222
A-0540,user543@example.com,LATAM,enterprise,540,10241
A-0541,user544@example.com,NA,free,541,10260
A-0542,user545@example.com,EU,pro,542,10279
A-0543,user546@example.com,APAC,enterprise,543,10298
A-0544,user547@example.com,LATAM,free,544,10317
A-0545,user548@example.com,NA,pro,545,10336
A-0546,user549@example.com,EU,enterprise,546,10355
A-0547,user550@example.com,APAC,free,547,10374
A-0548,user551@example.com,LATAM,pro,548,10393
A-0549,user552@example.com,NA,enterprise,549,10412
A-0550,user553@example.com,EU,free,550,10431
A-0551,user554@example.com,APAC,pro,551,10450
A-0552,user555@example.com,LATAM,enterprise,552,10469
A-0553,user556@example.com,NA,free,553,10488
A-0554,user557@example.com,EU,pro,554,10507
A-0555,user558@example.com,APAC,enterprise,555,10526
A-0556,user559@example.com,LATAM,free,556,10545
A-0557,user560@example.com,NA,pro,557,10564
A-0558,user561@example.com,EU,enterprise,558,10583
A-0559,user562@example.com,APAC,free,559,10602
A-0560,user563@example.com,LATAM,pro,560,10621
A-0561,user564@example.com,NA,enterprise,561,10640
A-0562,user565@example.com,EU,free,562,10659
A-0563,user566@example.com,APAC,pro,563,10678
A-0564,user567@example.com,LATAM,enterprise,564,10697
A-0565,user568@example.com,NA,free,565,10716
A-0566,user569@example.com,EU,pro,566,10735
A-0567,user570@example.com,APAC,enterprise,567,10754
A-0568,user571@example.com,LATAM,free,568,10773
A-0569,user572@example.com,NA,pro,569,10792
A-0570,user573@example.com,EU,enterprise,570,10811
A-0571,user574@example.com,APAC,free,571,10830
A-0572,user575@example.com,LATAM,pro,572,10849
A-0573,user576@example.com,NA,enterprise,573,10868
A-0574,user577@example.com,EU,free,574,10887
A-0575,user578@example.com,APAC,pro,575,10906
A-0576,user579@example.com,LATAM,enterprise,576,10925
A-0577,user580@example.com,NA,free,577,10944
A-0578,user581@example.com,EU,pro,578,10963
A-0579,alan@example.com,APAC,enterprise,579,10982
A-0580,ada@example.com,LATAM,free,580,11001
A-0581,user584@example.com,NA,pro,581,11020
