event_id,session_id,customer_id,email,event_type,sku,brand_code,event_at,region_code
EVT-0000032,SES-000032,32,user32@example.com,purchase,NIKE-SKU-00032,NIKE,2024-06-04T12:00:00Z,IN-EAST
EVT-0000033,SES-000033,33,user33@example.com,view,PUMA-SKU-00033,PUMA,2024-06-05T12:00:00Z,IN-WEST
EVT-0000034,SES-000034,34,user34@example.com,add_to_cart,NIKE-SKU-00034,NIKE,2024-06-06T12:00:00Z,IN-NORTH
EVT-0000035,SES-000035,35,user35@example.com,checkout,PUMA-SKU-00035,PUMA,2024-06-07T12:00:00Z,IN-SOUTH
EVT-0000036,SES-000036,36,user36@example.com,purchase,NIKE-SKU-00036,NIKE,2024-06-08T12:00:00Z,IN-EAST
EVT-0000037,SES-000037,37,user37@example.com,view,PUMA-SKU-00037,PUMA,2024-06-09T12:00:00Z,IN-WEST
EVT-0000038,SES-000038,38,user38@example.com,add_to_cart,NIKE-SKU-00038,NIKE,2024-06-10T12:00:00Z,IN-NORTH
EVT-0000039,SES-000039,39,user39@example.com,checkout,PUMA-SKU-00039,PUMA,2024-06-11T12:00:00Z,IN-SOUTH
EVT-0000040,SES-000040,40,user40@example.com,purchase,NIKE-SKU-00040,NIKE,2024-06-12T12:00:00Z,IN-EAST
EVT-0000041,SES-000041,41,user41@example.com,view,PUMA-SKU-00041,PUMA,2024-06-13T12:00:00Z,IN-WEST
EVT-0000042,SES-000042,42,user42@example.com,add_to_cart,NIKE-SKU-00042,NIKE,2024-06-14T12:00:00Z,IN-NORTH
EVT-0000043,SES-000043,43,user43@example.com,checkout,PUMA-SKU-00043,PUMA,2024-06-15T12:00:00Z,IN-SOUTH
EVT-0000044,SES-000044,44,user44@example.com,purchase,NIKE-SKU-00044,NIKE,2024-06-16T12:00:00Z,IN-EAST
EVT-0000045,SES-000045,45,user45@example.com,view,PUMA-SKU-00045,PUMA,2024-06-17T12:00:00Z,IN-WEST
EVT-0000046,SES-000046,46,user46@example.com,add_to_cart,NIKE-SKU-00046,NIKE,2024-06-18T12:00:00Z,IN-NORTH
EVT-0000047,SES-000047,47,user47@example.com,checkout,PUMA-SKU-00047,PUMA,2024-06-19T12:00:00Z,IN-SOUTH
EVT-0000048,SES-000048,48,user48@example.com,purchase,NIKE-SKU-00048,NIKE,2024-06-20T12:00:00Z,IN-EAST
EVT-0000049,SES-000049,49,user49@example.com,view,PUMA-SKU-00049,PUMA,2024-06-21T12:00:00Z,IN-WEST
EVT-0000050,SES-000050,50,user50@example.com,add_to_cart,NIKE-SKU-00050,NIKE,2024-06-22T12:00:00Z,IN-NORTH
EVT-0000051,SES-000051,51,user51@example.com,checkout,PUMA-SKU-00051,PUMA,2024-06-23T12:00:00Z,IN-SOUTH
EVT-0000052,SES-000052,52,user52@example.com,purchase,NIKE-SKU-00052,NIKE,2024-06-24T12:00:00Z,IN-EAST
EVT-0000053,SES-000053,53,user53@example.com,view,PUMA-SKU-00053,PUMA,2024-06-25T12:00:00Z,IN-WEST
EVT-0000054,SES-000054,54,user54@example.com,add_to_cart,NIKE-SKU-00054,NIKE,2024-06-26T12:00:00Z,IN-NORTH
EVT-0000055,SES-000055,55,user55@example.com,checkout,PUMA-SKU-00055,PUMA,2024-06-27T12:00:00Z,IN-SOUTH
EVT-0000056,SES-000056,56,user56@example.com,purchase,NIKE-SKU-00056,NIKE,2024-06-28T12:00:00Z,IN-EAST
EVT-0000057,SES-000057,57,user57@example.com,view,PUMA-SKU-00057,PUMA,2024-06-01T12:00:00Z,IN-WEST
EVT-0000058,SES-000058,58,user58@example.com,add_to_cart,NIKE-SKU-00058,NIKE,2024-06-02T12:00:00Z,IN-NORTH
EVT-0000059,SES-000059,59,user59@example.com,checkout,PUMA-SKU-00059,PUMA,2024-06-03T12:00:00Z,IN-SOUTH
EVT-0000060,SES-000060,60,user60@example.com,purchase,NIKE-SKU-00060,NIKE,2024-06-04T12:00:00Z,IN-EAST
EVT-0000061,SES-000061,61,user61@example.com,view,PUMA-SKU-00061,PUMA,2024-06-05T12:00:00Z,IN-WEST
EVT-0000062,SES-000062,62,user62@example.com,add_to_cart,NIKE-SKU-00062,NIKE,2024-06-06T12:00:00Z,IN-NORTH
EVT-0000063,SES-000063,63,user63@example.com,checkout,PUMA-SKU-00063,PUMA,2024-06-07T12:00:00Z,IN-SOUTH
EVT-0000064,SES-000064,64,user64@example.com,purchase,NIKE-SKU-00064,NIKE,2024-06-08T12:00:00Z,IN-EAST
EVT-0000065,SES-000065,65,user65@example.com,view,PUMA-SKU-00065,PUMA,2024-06-09T12:00:00Z,IN-WEST
EVT-0000066,SES-000066,66,user66@example.com,add_to_cart,NIKE-SKU-00066,NIKE,2024-06-10T12:00:00Z,IN-NORTH
EVT-0000067,SES-000067,67,user67@example.com,checkout,PUMA-SKU-00067,PUMA,2024-06-11T12:00:00Z,IN-SOUTH
EVT-0000068,SES-000068,68,user68@example.com,purchase,NIKE-SKU-00068,NIKE,2024-06-12T12:00:00Z,IN-EAST
EVT-0000069,SES-000069,69,user69@example.com,view,PUMA-SKU-00069,PUMA,2024-06-13T12:00:00Z,IN-WEST
EVT-0000070,SES-000070,70,user70@example.com,add_to_cart,NIKE-SKU-00070,NIKE,2024-06-14T12:00:00Z,IN-NORTH
EVT-0000071,SES-000071,71,user71@example.com,checkout,PUMA-SKU-00071,PUMA,2024-06-15T12:00:00Z,IN-SOUTH
EVT-0000072,SES-000072,72,user72@example.com,purchase,NIKE-SKU-00072,NIKE,2024-06-16T12:00:00Z,IN-EAST
EVT-0000073,SES-000073,73,user73@example.com,view,PUMA-SKU-00073,PUMA,2024-06-17T12:00:00Z,IN-WEST
EVT-0000074,SES-000074,74,user74@example.com,add_to_cart,NIKE-SKU-00074,NIKE,2024-06-18T12:00:00Z,IN-NORTH
EVT-0000075,SES-000075,75,user75@example.com,checkout,PUMA-SKU-00075,PUMA,2024-06-19T12:00:00Z,IN-SOUTH
EVT-0000076,SES-000076,76,user76@example.com,purchase,NIKE-SKU-00076,NIKE,2024-06-20T12:00:00Z,IN-EAST
EVT-0000077,SES-000077,77,user77@example.com,view,PUMA-SKU-00077,PUMA,2024-06-21T12:00:00Z,IN-WEST
EVT-0000078,SES-000078,78,user78@example.com,add_to_cart,NIKE-SKU-00078,NIKE,2024-06-22T12:00:00Z,IN-NORTH
EVT-0000079,SES-000079,79,user79@example.com,checkout,PUMA-SKU-00079,PUMA,2024-06-23T12:00:00Z,IN-SOUTH
EVT-0000080,SES-000080,80,user80@example.com,purchase,NIKE-SKU-00080,NIKE,2024-06-24T12:00:00Z,IN-EAST
EVT-0000081,SES-000081,81,user81@example.com,view,PUMA-SKU-00081,PUMA,2024-06-25T12:00:00Z,IN-WEST
EVT-0000082,SES-000082,82,user82@example.com,add_to_cart,NIKE-SKU-00082,NIKE,2024-06-26T12:00:00Z,IN-NORTH
EVT-0000083,SES-000083,83,user83@example.com,checkout,PUMA-SKU-00083,PUMA,2024-06-27T12:00:00Z,IN-SOUTH
EVT-0000084,SES-000084,84,user84@example.com,purchase,NIKE-SKU-00084,NIKE,2024-06-28T12:00:00Z,IN-EAST
EVT-0000085,SES-000085,85,user85@example.com,view,PUMA-SKU-00085,PUMA,2024-06-01T12:00:00Z,IN-WEST
EVT-0000086,SES-000086,86,user86@example.com,add_to_cart,NIKE-SKU-00086,NIKE,2024-06-02T12:00:00Z,IN-NORTH
EVT-0000087,SES-000087,87,user87@example.com,checkout,PUMA-SKU-00087,PUMA,2024-06-03T12:00:00Z,IN-SOUTH
EVT-0000088,SES-000088,88,user88@example.com,purchase,NIKE-SKU-00088,NIKE,2024-06-04T12:00:00Z,IN-EAST
EVT-0000089,SES-000089,89,user89@example.com,view,PUMA-SKU-00089,PUMA,2024-06-05T12:00:00Z,IN-WEST
EVT-0000090,SES-000090,90,user90@example.com,add_to_cart,NIKE-SKU-00090,NIKE,2024-06-06T12:00:00Z,IN-NORTH
EVT-0000091,SES-000091,91,user91@example.com,checkout,PUMA-SKU-00091,PUMA,2024-06-07T12:00:00Z,IN-SOUTH
EVT-0000092,SES-000092,92,user92@example.com,purchase,NIKE-SKU-00092,NIKE,2024-06-08T12:00:00Z,IN-EAST
EVT-0000093,SES-000093,93,user93@example.com,view,PUMA-SKU-00093,PUMA,2024-06-09T12:00:00Z,IN-WEST
EVT-0000094,SES-000094,94,user94@example.com,add_to_cart,NIKE-SKU-00094,NIKE,2024-06-10T12:00:00Z,IN-NORTH
EVT-0000095,SES-000095,95,user95@example.com,checkout,PUMA-SKU-00095,PUMA,2024-06-11T12:00:00Z,IN-SOUTH
EVT-0000096,SES-000096,96,user96@example.com,purchase,NIKE-SKU-00096,NIKE,2024-06-12T12:00:00Z,IN-EAST
EVT-0000097,SES-000097,97,user97@example.com,view,PUMA-SKU-00097,PUMA,2024-06-13T12:00:00Z,IN-WEST
EVT-0000098,SES-000098,98,user98@example.com,add_to_cart,NIKE-SKU-00098,NIKE,2024-06-14T12:00:00Z,IN-NORTH
EVT-0000099,SES-000099,99,user99@example.com,checkout,PUMA-SKU-00099,PUMA,2024-06-15T12:00:00Z,IN-SOUTH
EVT-0000100,SES-000100,100,user100@example.com,purchase,NIKE-SKU-00100,NIKE,2024-06-16T12:00:00Z,IN-EAST
EVT-0000101,SES-000101,101,user101@example.com,view,PUMA-SKU-00101,PUMA,2024-06-17T12:00:00Z,IN-WEST
EVT-0000102,SES-000102,102,user102@example.com,add_to_cart,NIKE-SKU-00102,NIKE,2024-06-18T12:00:00Z,IN-NORTH
EVT-0000103,SES-000103,103,user103@example.com,checkout,PUMA-SKU-00103,PUMA,2024-06-19T12:00:00Z,IN-SOUTH
EVT-0000104,SES-000104,104,user104@example.com,purchase,NIKE-SKU-00104,NIKE,2024-06-20T12:00:00Z,IN-EAST
EVT-0000105,SES-000105,105,user105@example.com,view,PUMA-SKU-00105,PUMA,2024-06-21T12:00:00Z,IN-WEST
EVT-0000106,SES-000106,106,user106@example.com,add_to_cart,NIKE-SKU-00106,NIKE,2024-06-22T12:00:00Z,IN-NORTH
EVT-0000107,SES-000107,107,user107@example.com,checkout,PUMA-SKU-00107,PUMA,2024-06-23T12:00:00Z,IN-SOUTH
EVT-0000108,SES-000108,108,user108@example.com,purchase,NIKE-SKU-00108,NIKE,2024-06-24T12:00:00Z,IN-EAST
EVT-0000109,SES-000109,109,user109@example.com,view,PUMA-SKU-00109,PUMA,2024-06-25T12:00:00Z,IN-WEST
EVT-0000110,SES-000110,110,user110@example.com,add_to_cart,NIKE-SKU-00110,NIKE,2024-06-26T12:00:00Z,IN-NORTH
EVT-0000111,SES-000111,111,user111@example.com,checkout,PUMA-SKU-00111,PUMA,2024-06-27T12:00:00Z,IN-SOUTH
EVT-0000112,SES-000112,112,user112@example.com,purchase,NIKE-SKU-00112,NIKE,2024-06-28T12:00:00Z,IN-EAST
EVT-0000113,SES-000113,113,user113@example.com,view,PUMA-SKU-00113,PUMA,2024-06-01T12:00:00Z,IN-WEST
EVT-0000114,SES-000114,114,user114@example.com,add_to_cart,NIKE-SKU-00114,NIKE,2024-06-02T12:00:00Z,IN-NORTH
EVT-0000115,SES-000115,115,user115@example.com,checkout,PUMA-SKU-00115,PUMA,2024-06-03T12:00:00Z,IN-SOUTH
EVT-0000116,SES-000116,116,user116@example.com,purchase,NIKE-SKU-00116,NIKE,2024-06-04T12:00:00Z,IN-EAST
EVT-0000117,SES-000117,117,user117@example.com,view,PUMA-SKU-00117,PUMA,2024-06-05T12:00:00Z,IN-WEST
EVT-0000118,SES-000118,118,user118@example.com,add_to_cart,NIKE-SKU-00118,NIKE,2024-06-06T12:00:00Z,IN-NORTH
EVT-0000119,SES-000119,119,user119@example.com,checkout,PUMA-SKU-00119,PUMA,2024-06-07T12:00:00Z,IN-SOUTH
EVT-0000120,SES-000120,120,user120@example.com,purchase,NIKE-SKU-00120,NIKE,2024-06-08T12:00:00Z,IN-EAST
EVT-0000121,SES-000121,121,user121@example.com,view,PUMA-SKU-00121,PUMA,2024-06-09T12:00:00Z,IN-WEST
EVT-0000122,SES-000122,122,user122@example.com,add_to_cart,NIKE-SKU-00122,NIKE,2024-06-10T12:00:00Z,IN-NORTH
EVT-0000123,SES-000123,123,user123@example.com,checkout,PUMA-SKU-00123,PUMA,2024-06-11T12:00:00Z,IN-SOUTH
EVT-0000124,SES-000124,124,user124@example.com,purchase,NIKE-SKU-00124,NIKE,2024-06-12T12:00:00Z,IN-EAST
EVT-0000125,SES-000125,125,user125@example.com,view,PUMA-SKU-00125,PUMA,2024-06-13T12:00:00Z,IN-WEST
EVT-0000126,SES-000126,126,user126@example.com,add_to_cart,NIKE-SKU-00126,NIKE,2024-06-14T12:00:00Z,IN-NORTH
EVT-0000127,SES-000127,127,user127@example.com,checkout,PUMA-SKU-00127,PUMA,2024-06-15T12:00:00Z,IN-SOUTH
EVT-0000128,SES-000128,128,user128@example.com,purchase,NIKE-SKU-00128,NIKE,2024-06-16T12:00:00Z,IN-EAST
EVT-0000129,SES-000129,129,user129@example.com,view,PUMA-SKU-00129,PUMA,2024-06-17T12:00:00Z,IN-WEST
EVT-0000130,SES-000130,130,user130@example.com,add_to_cart,NIKE-SKU-00130,NIKE,2024-06-18T12:00:00Z,IN-NORTH
EVT-0000131,SES-000131,131,user131@example.com,checkout,PUMA-SKU-00131,PUMA,2024-06-19T12:00:00Z,IN-SOUTH
EVT-0000132,SES-000132,132,user132@example.com,purchase,NIKE-SKU-00132,NIKE,2024-06-20T12:00:00Z,IN-EAST
EVT-0000133,SES-000133,133,user133@example.com,view,PUMA-SKU-00133,PUMA,2024-06-21T12:00:00Z,IN-WEST
EVT-0000134,SES-000134,134,user134@example.com,add_to_cart,NIKE-SKU-00134,NIKE,2024-06-22T12:00:00Z,IN-NORTH
EVT-0000135,SES-000135,135,user135@example.com,checkout,PUMA-SKU-00135,PUMA,2024-06-23T12:00:00Z,IN-SOUTH
EVT-0000136,SES-000136,136,user136@example.com,purchase,NIKE-SKU-00136,NIKE,2024-06-24T12:00:00Z,IN-EAST
EVT-0000137,SES-000137,137,user137@example.com,view,PUMA-SKU-00137,PUMA,2024-06-25T12:00:00Z,IN-WEST
EVT-0000138,SES-000138,138,user138@example.com,add_to_cart,NIKE-SKU-00138,NIKE,2024-06-26T12:00:00Z,IN-NORTH
EVT-0000139,SES-000139,139,user139@example.com,checkout,PUMA-SKU-00139,PUMA,2024-06-27T12:00:00Z,IN-SOUTH
EVT-0000140,SES-000140,140,user140@example.com,purchase,NIKE-SKU-00140,NIKE,2024-06-28T12:00:00Z,IN-EAST
EVT-0000141,SES-000141,141,user141@example.com,view,PUMA-SKU-00141,PUMA,2024-06-01T12:00:00Z,IN-WEST
EVT-0000142,SES-000142,142,user142@example.com,add_to_cart,NIKE-SKU-00142,NIKE,2024-06-02T12:00:00Z,IN-NORTH
EVT-0000143,SES-000143,143,user143@example.com,checkout,PUMA-SKU-00143,PUMA,2024-06-03T12:00:00Z,IN-SOUTH
EVT-0000144,SES-000144,144,user144@example.com,purchase,NIKE-SKU-00144,NIKE,2024-06-04T12:00:00Z,IN-EAST
EVT-0000145,SES-000145,145,user145@example.com,view,PUMA-SKU-00145,PUMA,2024-06-05T12:00:00Z,IN-WEST
EVT-0000146,SES-000146,146,user146@example.com,add_to_cart,NIKE-SKU-00146,NIKE,2024-06-06T12:00:00Z,IN-NORTH
EVT-0000147,SES-000147,147,user147@example.com,checkout,PUMA-SKU-00147,PUMA,2024-06-07T12:00:00Z,IN-SOUTH
EVT-0000148,SES-000148,148,user148@example.com,purchase,NIKE-SKU-00148,NIKE,2024-06-08T12:00:00Z,IN-EAST
EVT-0000149,SES-000149,149,user149@example.com,view,PUMA-SKU-00149,PUMA,2024-06-09T12:00:00Z,IN-WEST
EVT-0000150,SES-000150,150,user150@example.com,add_to_cart,NIKE-SKU-00150,NIKE,2024-06-10T12:00:00Z,IN-NORTH
EVT-0000151,SES-000151,151,user151@example.com,checkout,PUMA-SKU-00151,PUMA,2024-06-11T12:00:00Z,IN-SOUTH
EVT-0000152,SES-000152,152,user152@example.com,purchase,NIKE-SKU-00152,NIKE,2024-06-12T12:00:00Z,IN-EAST
EVT-0000153,SES-000153,153,user153@example.com,view,PUMA-SKU-00153,PUMA,2024-06-13T12:00:00Z,IN-WEST
EVT-0000154,SES-000154,154,user154@example.com,add_to_cart,NIKE-SKU-00154,NIKE,2024-06-14T12:00:00Z,IN-NORTH
EVT-0000155,SES-000155,155,user155@example.com,checkout,PUMA-SKU-00155,PUMA,2024-06-15T12:00:00Z,IN-SOUTH
EVT-0000156,SES-000156,156,user156@example.com,purchase,NIKE-SKU-00156,NIKE,2024-06-16T12:00:00Z,IN-EAST
EVT-0000157,SES-000157,157,user157@example.com,view,PUMA-SKU-00157,PUMA,2024-06-17T12:00:00Z,IN-WEST
EVT-0000158,SES-000158,158,user158@example.com,add_to_cart,NIKE-SKU-00158,NIKE,2024-06-18T12:00:00Z,IN-NORTH
EVT-0000159,SES-000159,159,user159@example.com,checkout,PUMA-SKU-00159,PUMA,2024-06-19T12:00:00Z,IN-SOUTH
EVT-0000160,SES-000160,160,user160@example.com,purchase,NIKE-SKU-00160,NIKE,2024-06-20T12:00:00Z,IN-EAST
EVT-0000161,SES-000161,161,user161@example.com,view,PUMA-SKU-00161,PUMA,2024-06-21T12:00:00Z,IN-WEST
EVT-0000162,SES-000162,162,user162@example.com,add_to_cart,NIKE-SKU-00162,NIKE,2024-06-22T12:00:00Z,IN-NORTH
EVT-0000163,SES-000163,163,user163@example.com,checkout,PUMA-SKU-00163,PUMA,2024-06-23T12:00:00Z,IN-SOUTH
EVT-0000164,SES-000164,164,user164@example.com,purchase,NIKE-SKU-00164,NIKE,2024-06-24T12:00:00Z,IN-EAST
EVT-0000165,SES-000165,165,user165@example.com,view,PUMA-SKU-00165,PUMA,2024-06-25T12:00:00Z,IN-WEST
EVT-0000166,SES-000166,166,user166@example.com,add_to_cart,NIKE-SKU-00166,NIKE,2024-06-26T12:00:00Z,IN-NORTH
EVT-0000167,SES-000167,167,user167@example.com,checkout,PUMA-SKU-00167,PUMA,2024-06-27T12:00:00Z,IN-SOUTH
EVT-0000168,SES-000168,168,user168@example.com,purchase,NIKE-SKU-00168,NIKE,2024-06-28T12:00:00Z,IN-EAST
EVT-0000169,SES-000169,169,user169@example.com,view,PUMA-SKU-00169,PUMA,2024-06-01T12:00:00Z,IN-WEST
EVT-0000170,SES-000170,170,user170@example.com,add_to_cart,NIKE-SKU-00170,NIKE,2024-06-02T12:00:00Z,IN-NORTH
EVT-0000171,SES-000171,171,user171@example.com,checkout,PUMA-SKU-00171,PUMA,2024-06-03T12:00:00Z,IN-SOUTH
EVT-0000172,SES-000172,172,user172@example.com,purchase,NIKE-SKU-00172,NIKE,2024-06-04T12:00:00Z,IN-EAST
EVT-0000173,SES-000173,173,user173@example.com,view,PUMA-SKU-00173,PUMA,2024-06-05T12:00:00Z,IN-WEST
EVT-0000174,SES-000174,174,user174@example.com,add_to_cart,NIKE-SKU-00174,NIKE,2024-06-06T12:00:00Z,IN-NORTH
EVT-0000175,SES-000175,175,user175@example.com,checkout,PUMA-SKU-00175,PUMA,2024-06-07T12:00:00Z,IN-SOUTH
EVT-0000176,SES-000176,176,user176@example.com,purchase,NIKE-SKU-00176,NIKE,2024-06-08T12:00:00Z,IN-EAST
EVT-0000177,SES-000177,177,user177@example.com,view,PUMA-SKU-00177,PUMA,2024-06-09T12:00:00Z,IN-WEST
EVT-0000178,SES-000178,178,user178@example.com,add_to_cart,NIKE-SKU-00178,NIKE,2024-06-10T12:00:00Z,IN-NORTH
EVT-0000179,SES-000179,179,user179@example.com,checkout,PUMA-SKU-00179,PUMA,2024-06-11T12:00:00Z,IN-SOUTH
EVT-0000180,SES-000180,180,user180@example.com,purchase,NIKE-SKU-00180,NIKE,2024-06-12T12:00:00Z,IN-EAST
EVT-0000181,SES-000181,181,user181@example.com,view,PUMA-SKU-00181,PUMA,2024-06-13T12:00:00Z,IN-WEST
EVT-0000182,SES-000182,182,user182@example.com,add_to_cart,NIKE-SKU-00182,NIKE,2024-06-14T12:00:00Z,IN-NORTH
EVT-0000183,SES-000183,183,user183@example.com,checkout,PUMA-SKU-00183,PUMA,2024-06-15T12:00:00Z,IN-SOUTH
EVT-0000184,SES-000184,184,user184@example.com,purchase,NIKE-SKU-00184,NIKE,2024-06-16T12:00:00Z,IN-EAST
EVT-0000185,SES-000185,185,user185@example.com,view,PUMA-SKU-00185,PUMA,2024-06-17T12:00:00Z,IN-WEST
EVT-0000186,SES-000186,186,user186@example.com,add_to_cart,NIKE-SKU-00186,NIKE,2024-06-18T12:00:00Z,IN-NORTH
EVT-0000187,SES-000187,187,user187@example.com,checkout,PUMA-SKU-00187,PUMA,2024-06-19T12:00:00Z,IN-SOUTH
EVT-0000188,SES-000188,188,user188@example.com,purchase,NIKE-SKU-00188,NIKE,2024-06-20T12:00:00Z,IN-EAST
EVT-0000189,SES-000189,189,user189@example.com,view,PUMA-SKU-00189,PUMA,2024-06-21T12:00:00Z,IN-WEST
EVT-0000190,SES-000190,190,user190@example.com,add_to_cart,NIKE-SKU-00190,NIKE,2024-06-22T12:00:00Z,IN-NORTH
EVT-0000191,SES-000191,191,user191@example.com,checkout,PUMA-SKU-00191,PUMA,2024-06-23T12:00:00Z,IN-SOUTH
EVT-0000192,SES-000192,192,user192@example.com,purchase,NIKE-SKU-00192,NIKE,2024-06-24T12:00:00Z,IN-EAST
EVT-0000193,SES-000193,193,user193@example.com,view,PUMA-SKU-00193,PUMA,2024-06-25T12:00:00Z,IN-WEST
EVT-0000194,SES-000194,194,user194@example.com,add_to_cart,NIKE-SKU-00194,NIKE,2024-06-26T12:00:00Z,IN-NORTH
EVT-0000195,SES-000195,195,user195@example.com,checkout,PUMA-SKU-00195,PUMA,2024-06-27T12:00:00Z,IN-SOUTH
EVT-0000196,SES-000196,196,user196@example.com,purchase,NIKE-SKU-00196,NIKE,2024-06-28T12:00:00Z,IN-EAST
EVT-0000197,SES-000197,197,user197@example.com,view,PUMA-SKU-00197,PUMA,2024-06-01T12:00:00Z,IN-WEST
EVT-0000198,SES-000198,198,user198@example.com,add_to_cart,NIKE-SKU-00198,NIKE,2024-06-02T12:00:00Z,IN-NORTH
EVT-0000199,SES-000199,199,user199@example.com,checkout,PUMA-SKU-00199,PUMA,2024-06-03T12:00:00Z,IN-SOUTH
EVT-0000200,SES-000200,200,user200@example.com,purchase,NIKE-SKU-00200,NIKE,2024-06-04T12:00:00Z,IN-EAST
EVT-0000201,SES-000201,201,user201@example.com,view,PUMA-SKU-00201,PUMA,2024-06-05T12:00:00Z,IN-WEST
EVT-0000202,SES-000202,202,user202@example.com,add_to_cart,NIKE-SKU-00202,NIKE,2024-06-06T12:00:00Z,IN-NORTH
EVT-0000203,SES-000203,203,user203@example.com,checkout,PUMA-SKU-00203,PUMA,2024-06-07T12:00:00Z,IN-SOUTH
EVT-0000204,SES-000204,204,user204@example.com,purchase,NIKE-SKU-00204,NIKE,2024-06-08T12:00:00Z,IN-EAST
EVT-0000205,SES-000205,205,user205@example.com,view,PUMA-SKU-00205,PUMA,2024-06-09T12:00:00Z,IN-WEST
EVT-0000206,SES-000206,206,user206@example.com,add_to_cart,NIKE-SKU-00206,NIKE,2024-06-10T12:00:00Z,IN-NORTH
EVT-0000207,SES-000207,207,user207@example.com,checkout,PUMA-SKU-00207,PUMA,2024-06-11T12:00:00Z,IN-SOUTH
