lead_id,email,customer_id,campaign_id,brand_code,status,score,created_at
LEAD-000118,user129@example.com,129,CMP-00352,NIKE,qualified,21,2024-03-06
LEAD-000119,user130@example.com,130,CMP-00355,PUMA,won,34,2024-03-07
LEAD-000120,user131@example.com,131,CMP-00358,NIKE,lost,47,2024-03-08
LEAD-000121,user132@example.com,132,CMP-00361,PUMA,open,60,2024-03-09
LEAD-000122,user133@example.com,133,CMP-00364,NIKE,qualified,73,2024-03-10
LEAD-000123,user134@example.com,134,CMP-00367,PUMA,won,86,2024-03-11
LEAD-000124,user135@example.com,135,CMP-00370,NIKE,lost,99,2024-03-12
LEAD-000125,user136@example.com,136,CMP-00373,PUMA,open,12,2024-03-13
LEAD-000126,user137@example.com,137,CMP-00376,NIKE,qualified,25,2024-03-14
LEAD-000127,user138@example.com,138,CMP-00379,PUMA,won,38,2024-03-15
LEAD-000128,user139@example.com,139,CMP-00382,NIKE,lost,51,2024-03-16
LEAD-000129,user140@example.com,140,CMP-00385,PUMA,open,64,2024-03-17
LEAD-000130,user141@example.com,141,CMP-00388,NIKE,qualified,77,2024-03-18
LEAD-000131,user142@example.com,142,CMP-00391,PUMA,won,90,2024-03-19
LEAD-000132,user143@example.com,143,CMP-00394,NIKE,lost,3,2024-03-20
LEAD-000133,user144@example.com,144,CMP-00397,PUMA,open,16,2024-03-21
LEAD-000134,user145@example.com,145,CMP-00400,NIKE,qualified,29,2024-03-22
LEAD-000135,user146@example.com,146,CMP-00403,PUMA,won,42,2024-03-23
LEAD-000136,user147@example.com,147,CMP-00406,NIKE,lost,55,2024-03-24
LEAD-000137,user148@example.com,148,CMP-00409,PUMA,open,68,2024-03-25
LEAD-000138,user149@example.com,149,CMP-00412,NIKE,qualified,81,2024-03-26
LEAD-000139,user150@example.com,150,CMP-00415,PUMA,won,94,2024-03-27
LEAD-000140,user151@example.com,151,CMP-00418,NIKE,lost,7,2024-03-28
LEAD-000141,user152@example.com,152,CMP-00421,PUMA,open,20,2024-03-01
LEAD-000142,user153@example.com,153,CMP-00424,NIKE,qualified,33,2024-03-02
LEAD-000143,user154@example.com,154,CMP-00427,PUMA,won,46,2024-03-03
LEAD-000144,user155@example.com,155,CMP-00430,NIKE,lost,59,2024-03-04
LEAD-000145,user156@example.com,156,CMP-00433,PUMA,open,72,2024-03-05
LEAD-000146,user157@example.com,157,CMP-00436,NIKE,qualified,85,2024-03-06
LEAD-000147,user158@example.com,158,CMP-00439,PUMA,won,98,2024-03-07
LEAD-000148,user159@example.com,159,CMP-00442,NIKE,lost,11,2024-03-08
LEAD-000149,user160@example.com,160,CMP-00445,PUMA,open,24,2024-03-09
LEAD-000150,user161@example.com,161,CMP-00448,NIKE,qualified,37,2024-03-10
LEAD-000151,user162@example.com,162,CMP-00451,PUMA,won,50,2024-03-11
LEAD-000152,user163@example.com,163,CMP-00454,NIKE,lost,63,2024-03-12
LEAD-000153,user164@example.com,164,CMP-00457,PUMA,open,76,2024-03-13
LEAD-000154,user165@example.com,165,CMP-00460,NIKE,qualified,89,2024-03-14
LEAD-000155,user166@example.com,166,CMP-00463,PUMA,won,2,2024-03-15
LEAD-000156,user167@example.com,167,CMP-00466,NIKE,lost,15,2024-03-16
LEAD-000157,user168@example.com,168,CMP-00469,PUMA,open,28,2024-03-17
LEAD-000158,user169@example.com,169,CMP-00472,NIKE,qualified,41,2024-03-18
LEAD-000159,user170@example.com,170,CMP-00475,PUMA,won,54,2024-03-19
LEAD-000160,user171@example.com,171,CMP-00478,NIKE,lost,67,2024-03-20
LEAD-000161,user172@example.com,172,CMP-00481,PUMA,open,80,2024-03-21
LEAD-000162,user173@example.com,173,CMP-00484,NIKE,qualified,93,2024-03-22
LEAD-000163,user174@example.com,174,CMP-00487,PUMA,won,6,2024-03-23
LEAD-000164,user175@example.com,175,CMP-00490,NIKE,lost,19,2024-03-24
LEAD-000165,user176@example.com,176,CMP-00493,PUMA,open,32,2024-03-25
LEAD-000166,user177@example.com,177,CMP-00496,NIKE,qualified,45,2024-03-26
LEAD-000167,user178@example.com,178,CMP-00499,PUMA,won,58,2024-03-27
LEAD-000168,user179@example.com,179,CMP-00502,NIKE,lost,71,2024-03-28
LEAD-000169,user180@example.com,180,CMP-00505,PUMA,open,84,2024-03-01
LEAD-000170,user181@example.com,181,CMP-00508,NIKE,qualified,97,2024-03-02
LEAD-000171,user182@example.com,182,CMP-00511,PUMA,won,10,2024-03-03
LEAD-000172,user183@example.com,183,CMP-00514,NIKE,lost,23,2024-03-04
LEAD-000173,user184@example.com,184,CMP-00517,PUMA,open,36,2024-03-05
LEAD-000174,user185@example.com,185,CMP-00520,NIKE,qualified,49,2024-03-06
LEAD-000175,user186@example.com,186,CMP-00523,PUMA,won,62,2024-03-07
LEAD-000176,user187@example.com,187,CMP-00526,NIKE,lost,75,2024-03-08
LEAD-000177,user188@example.com,188,CMP-00529,PUMA,open,88,2024-03-09
LEAD-000178,user189@example.com,189,CMP-00532,NIKE,qualified,1,2024-03-10
LEAD-000179,user190@example.com,190,CMP-00535,PUMA,won,14,2024-03-11
LEAD-000180,user191@example.com,191,CMP-00538,NIKE,lost,27,2024-03-12
LEAD-000181,user192@example.com,192,CMP-00541,PUMA,open,40,2024-03-13
LEAD-000182,user193@example.com,193,CMP-00544,NIKE,qualified,53,2024-03-14
LEAD-000183,user194@example.com,194,CMP-00547,PUMA,won,66,2024-03-15
LEAD-000184,user195@example.com,195,CMP-00550,NIKE,lost,79,2024-03-16
LEAD-000185,user196@example.com,196,CMP-00553,PUMA,open,92,2024-03-17
LEAD-000186,user197@example.com,197,CMP-00556,NIKE,qualified,5,2024-03-18
LEAD-000187,user198@example.com,198,CMP-00559,PUMA,won,18,2024-03-19
LEAD-000188,user199@example.com,199,CMP-00562,NIKE,lost,31,2024-03-20
LEAD-000189,user200@example.com,200,CMP-00565,PUMA,open,44,2024-03-21
LEAD-000190,user201@example.com,201,CMP-00568,NIKE,qualified,57,2024-03-22
LEAD-000191,user202@example.com,202,CMP-00571,PUMA,won,70,2024-03-23
LEAD-000192,user203@example.com,203,CMP-00574,NIKE,lost,83,2024-03-24
LEAD-000193,user204@example.com,204,CMP-00577,PUMA,open,96,2024-03-25
LEAD-000194,user205@example.com,205,CMP-00580,NIKE,qualified,9,2024-03-26
LEAD-000195,user206@example.com,206,CMP-00583,PUMA,won,22,2024-03-27
LEAD-000196,user207@example.com,207,CMP-00586,NIKE,lost,35,2024-03-28
LEAD-000197,user208@example.com,208,CMP-00589,PUMA,open,48,2024-03-01
LEAD-000198,user209@example.com,209,CMP-00592,NIKE,qualified,61,2024-03-02
LEAD-000199,user210@example.com,210,CMP-00595,PUMA,won,74,2024-03-03
LEAD-000200,user211@example.com,211,CMP-00598,NIKE,lost,87,2024-03-04
LEAD-000201,user212@example.com,212,CMP-00601,PUMA,open,0,2024-03-05
LEAD-000202,user213@example.com,213,CMP-00604,NIKE,qualified,13,2024-03-06
LEAD-000203,user214@example.com,214,CMP-00607,PUMA,won,26,2024-03-07
LEAD-000204,user215@example.com,215,CMP-00610,NIKE,lost,39,2024-03-08
LEAD-000205,user216@example.com,216,CMP-00613,PUMA,open,52,2024-03-09
LEAD-000206,user217@example.com,217,CMP-00616,NIKE,qualified,65,2024-03-10
LEAD-000207,user218@example.com,218,CMP-00619,PUMA,won,78,2024-03-11
LEAD-000208,user219@example.com,219,CMP-00622,NIKE,lost,91,2024-03-12
LEAD-000209,user220@example.com,220,CMP-00625,PUMA,open,4,2024-03-13
LEAD-000210,user221@example.com,221,CMP-00628,NIKE,qualified,17,2024-03-14
LEAD-000211,user222@example.com,222,CMP-00631,PUMA,won,30,2024-03-15
LEAD-000212,user223@example.com,223,CMP-00634,NIKE,lost,43,2024-03-16
LEAD-000213,user224@example.com,224,CMP-00637,PUMA,open,56,2024-03-17
LEAD-000214,user225@example.com,225,CMP-00640,NIKE,qualified,69,2024-03-18
LEAD-000215,user226@example.com,226,CMP-00643,PUMA,won,82,2024-03-19
LEAD-000216,user227@example.com,227,CMP-00646,NIKE,lost,95,2024-03-20
LEAD-000217,user228@example.com,228,CMP-00649,PUMA,open,8,2024-03-21
LEAD-000218,user229@example.com,229,CMP-00652,NIKE,qualified,21,2024-03-22
LEAD-000219,user230@example.com,230,CMP-00655,PUMA,won,34,2024-03-23
LEAD-000220,user231@example.com,231,CMP-00658,NIKE,lost,47,2024-03-24
LEAD-000221,user232@example.com,232,CMP-00661,PUMA,open,60,2024-03-25
LEAD-000222,user233@example.com,233,CMP-00664,NIKE,qualified,73,2024-03-26
LEAD-000223,user234@example.com,234,CMP-00667,PUMA,won,86,2024-03-27
LEAD-000224,user235@example.com,235,CMP-00670,NIKE,lost,99,2024-03-28
LEAD-000225,user236@example.com,236,CMP-00673,PUMA,open,12,2024-03-01
LEAD-000226,user237@example.com,237,CMP-00676,NIKE,qualified,25,2024-03-02
LEAD-000227,user238@example.com,238,CMP-00679,PUMA,won,38,2024-03-03
LEAD-000228,user239@example.com,239,CMP-00682,NIKE,lost,51,2024-03-04
LEAD-000229,user240@example.com,240,CMP-00685,PUMA,open,64,2024-03-05
LEAD-000230,user241@example.com,241,CMP-00688,NIKE,qualified,77,2024-03-06
LEAD-000231,user242@example.com,242,CMP-00691,PUMA,won,90,2024-03-07
LEAD-000232,user243@example.com,243,CMP-00694,NIKE,lost,3,2024-03-08
LEAD-000233,user244@example.com,244,CMP-00697,PUMA,open,16,2024-03-09
LEAD-000234,user245@example.com,245,CMP-00700,NIKE,qualified,29,2024-03-10
LEAD-000235,user246@example.com,246,CMP-00703,PUMA,won,42,2024-03-11
LEAD-000236,user247@example.com,247,CMP-00706,NIKE,lost,55,2024-03-12
LEAD-000237,user248@example.com,248,CMP-00709,PUMA,open,68,2024-03-13
LEAD-000238,user249@example.com,249,CMP-00712,NIKE,qualified,81,2024-03-14
LEAD-000239,user250@example.com,250,CMP-00715,PUMA,won,94,2024-03-15
LEAD-000240,user251@example.com,251,CMP-00718,NIKE,lost,7,2024-03-16
LEAD-000241,user252@example.com,252,CMP-00721,PUMA,open,20,2024-03-17
LEAD-000242,user253@example.com,253,CMP-00724,NIKE,qualified,33,2024-03-18
LEAD-000243,user254@example.com,254,CMP-00727,PUMA,won,46,2024-03-19
LEAD-000244,user255@example.com,255,CMP-00730,NIKE,lost,59,2024-03-20
LEAD-000245,user256@example.com,256,CMP-00733,PUMA,open,72,2024-03-21
LEAD-000246,user257@example.com,257,CMP-00736,NIKE,qualified,85,2024-03-22
LEAD-000247,user258@example.com,258,CMP-00739,PUMA,won,98,2024-03-23
LEAD-000248,user259@example.com,259,CMP-00742,NIKE,lost,11,2024-03-24
LEAD-000249,user260@example.com,260,CMP-00745,PUMA,open,24,2024-03-25
LEAD-000250,user261@example.com,261,CMP-00748,NIKE,qualified,37,2024-03-26
LEAD-000251,user262@example.com,262,CMP-00751,PUMA,won,50,2024-03-27
LEAD-000252,user263@example.com,263,CMP-00754,NIKE,lost,63,2024-03-28
LEAD-000253,user264@example.com,264,CMP-00757,PUMA,open,76,2024-03-01
LEAD-000254,user265@example.com,265,CMP-00760,NIKE,qualified,89,2024-03-02
LEAD-000255,user266@example.com,266,CMP-00763,PUMA,won,2,2024-03-03
LEAD-000256,user267@example.com,267,CMP-00766,NIKE,lost,15,2024-03-04
LEAD-000257,user268@example.com,268,CMP-00769,PUMA,open,28,2024-03-05
LEAD-000258,user269@example.com,269,CMP-00772,NIKE,qualified,41,2024-03-06
LEAD-000259,user270@example.com,270,CMP-00775,PUMA,won,54,2024-03-07
LEAD-000260,user271@example.com,271,CMP-00778,NIKE,lost,67,2024-03-08
LEAD-000261,user272@example.com,272,CMP-00781,PUMA,open,80,2024-03-09
LEAD-000262,user273@example.com,273,CMP-00784,NIKE,qualified,93,2024-03-10
LEAD-000263,user274@example.com,274,CMP-00787,PUMA,won,6,2024-03-11
LEAD-000264,user275@example.com,275,CMP-00790,NIKE,lost,19,2024-03-12
LEAD-000265,user276@example.com,276,CMP-00793,PUMA,open,32,2024-03-13
LEAD-000266,user277@example.com,277,CMP-00796,NIKE,qualified,45,2024-03-14
LEAD-000267,user278@example.com,278,CMP-00799,PUMA,won,58,2024-03-15
LEAD-000268,user279@example.com,279,CMP-00802,NIKE,lost,71,2024-03-16
LEAD-000269,user280@example.com,280,CMP-00805,PUMA,open,84,2024-03-17
LEAD-000270,user281@example.com,281,CMP-00808,NIKE,qualified,97,2024-03-18
LEAD-000271,user282@example.com,282,CMP-00811,PUMA,won,10,2024-03-19
LEAD-000272,user283@example.com,283,CMP-00814,NIKE,lost,23,2024-03-20
LEAD-000273,user284@example.com,284,CMP-00817,PUMA,open,36,2024-03-21
LEAD-000274,user285@example.com,285,CMP-00820,NIKE,qualified,49,2024-03-22
LEAD-000275,user286@example.com,286,CMP-00823,PUMA,won,62,2024-03-23
LEAD-000276,user287@example.com,287,CMP-00826,NIKE,lost,75,2024-03-24
LEAD-000277,user288@example.com,288,CMP-00829,PUMA,open,88,2024-03-25
LEAD-000278,user289@example.com,289,CMP-00832,NIKE,qualified,1,2024-03-26
LEAD-000279,user290@example.com,290,CMP-00835,PUMA,won,14,2024-03-27
LEAD-000280,user291@example.com,291,CMP-00838,NIKE,lost,27,2024-03-28
LEAD-000281,user292@example.com,292,CMP-00841,PUMA,open,40,2024-03-01
LEAD-000282,user293@example.com,293,CMP-00844,NIKE,qualified,53,2024-03-02
LEAD-000283,user294@example.com,294,CMP-00847,PUMA,won,66,2024-03-03
LEAD-000284,user295@example.com,295,CMP-00850,NIKE,lost,79,2024-03-04
LEAD-000285,user296@example.com,296,CMP-00853,PUMA,open,92,2024-03-05
LEAD-000286,user297@example.com,297,CMP-00856,NIKE,qualified,5,2024-03-06
LEAD-000287,user298@example.com,298,CMP-00859,PUMA,won,18,2024-03-07
LEAD-000288,user299@example.com,299,CMP-00862,NIKE,lost,31,2024-03-08
LEAD-000289,user300@example.com,300,CMP-00865,PUMA,open,44,2024-03-09
LEAD-000290,user301@example.com,301,CMP-00868,NIKE,qualified,57,2024-03-10
LEAD-000291,user302@example.com,302,CMP-00871,PUMA,won,70,2024-03-11
LEAD-000292,user303@example.com,303,CMP-00874,NIKE,lost,83,2024-03-12
LEAD-000293,user304@example.com,304,CMP-00877,PUMA,open,96,2024-03-13
LEAD-000294,user305@example.com,305,CMP-00880,NIKE,qualified,9,2024-03-14
LEAD-000295,user306@example.com,306,CMP-00883,PUMA,won,22,2024-03-15
LEAD-000296,user307@example.com,307,CMP-00886,NIKE,lost,35,2024-03-16
LEAD-000297,user308@example.com,308,CMP-00889,PUMA,open,48,2024-03-17
LEAD-000298,user309@example.com,309,CMP-00892,NIKE,qualified,61,2024-03-18
LEAD-000299,user310@example.com,310,CMP-00895,PUMA,won,74,2024-03-19
LEAD-000300,user311@example.com,311,CMP-00898,NIKE,lost,87,2024-03-20
LEAD-000301,user312@example.com,312,CMP-00901,PUMA,open,0,2024-03-21
LEAD-000302,user313@example.com,313,CMP-00904,NIKE,qualified,13,2024-03-22
LEAD-000303,user314@example.com,314,CMP-00907,PUMA,won,26,2024-03-23
LEAD-000304,user315@example.com,315,CMP-00910,NIKE,lost,39,2024-03-24
LEAD-000305,user316@example.com,316,CMP-00913,PUMA,open,52,2024-03-25
LEAD-000306,user317@example.com,317,CMP-00916,NIKE,qualified,65,2024-03-26
LEAD-000307,user318@example.com,318,CMP-00919,PUMA,won,78,2024-03-27
LEAD-000308,user319@example.com,319,CMP-00922,NIKE,lost,91,2024-03-28
LEAD-000309,user320@example.com,320,CMP-00925,PUMA,open,4,2024-03-01
LEAD-000310,user321@example.com,321,CMP-00928,NIKE,qualified,17,2024-03-02
LEAD-000311,user322@example.com,322,CMP-00931,PUMA,won,30,2024-03-03
LEAD-000312,user323@example.com,323,CMP-00934,NIKE,lost,43,2024-03-04
LEAD-000313,user324@example.com,324,CMP-00937,PUMA,open,56,2024-03-05
LEAD-000314,user325@example.com,325,CMP-00940,NIKE,qualified,69,2024-03-06
LEAD-000315,user326@example.com,326,CMP-00943,PUMA,won,82,2024-03-07
LEAD-000316,user327@example.com,327,CMP-00946,NIKE,lost,95,2024-03-08
LEAD-000317,user328@example.com,328,CMP-00949,PUMA,open,8,2024-03-09
LEAD-000318,user329@example.com,329,CMP-00952,NIKE,qualified,21,2024-03-10
LEAD-000319,user330@example.com,330,CMP-00955,PUMA,won,34,2024-03-11
LEAD-000320,user331@example.com,331,CMP-00958,NIKE,lost,47,2024-03-12
LEAD-000321,user332@example.com,332,CMP-00961,PUMA,open,60,2024-03-13
LEAD-000322,user333@example.com,333,CMP-00964,NIKE,qualified,73,2024-03-14
LEAD-000323,user334@example.com,334,CMP-00967,PUMA,won,86,2024-03-15
LEAD-000324,user335@example.com,335,CMP-00970,NIKE,lost,99,2024-03-16
LEAD-000325,user336@example.com,336,CMP-00973,PUMA,open,12,2024-03-17
LEAD-000326,user337@example.com,337,CMP-00976,NIKE,qualified,25,2024-03-18
LEAD-000327,user338@example.com,338,CMP-00979,PUMA,won,38,2024-03-19
LEAD-000328,user339@example.com,339,CMP-00982,NIKE,lost,51,2024-03-20
LEAD-000329,user340@example.com,340,CMP-00985,PUMA,open,64,2024-03-21
LEAD-000330,user341@example.com,341,CMP-00988,NIKE,qualified,77,2024-03-22
LEAD-000331,user342@example.com,342,CMP-00991,PUMA,won,90,2024-03-23
LEAD-000332,user343@example.com,343,CMP-00994,NIKE,lost,3,2024-03-24
LEAD-000333,user344@example.com,344,CMP-00997,PUMA,open,16,2024-03-25
LEAD-000334,user345@example.com,345,CMP-01000,NIKE,qualified,29,2024-03-26
LEAD-000335,user346@example.com,346,CMP-01003,PUMA,won,42,2024-03-27
LEAD-000336,user347@example.com,347,CMP-01006,NIKE,lost,55,2024-03-28
LEAD-000337,user348@example.com,348,CMP-01009,PUMA,open,68,2024-03-01
LEAD-000338,user349@example.com,349,CMP-01012,NIKE,qualified,81,2024-03-02
LEAD-000339,user350@example.com,350,CMP-01015,PUMA,won,94,2024-03-03
LEAD-000340,user351@example.com,351,CMP-01018,NIKE,lost,7,2024-03-04
LEAD-000341,user352@example.com,352,CMP-01021,PUMA,open,20,2024-03-05
LEAD-000342,user353@example.com,353,CMP-01024,NIKE,qualified,33,2024-03-06
